stratum	rank	selection_blake3	chrom	donor	acceptor	archives_present	archive_ids
two_to_three_archives	13	000d491572bac6ab526b8cc8b6375be82ccbd268aec107e44a6c5a9c8a484be2	chr2	95889994	95891831	2	D,H
two_to_three_archives	14	000d547617e4a37744d1ee85b87626d266ebd34070bbe1d94136ff44d32874ac	chr19	17493856	17494557	3	A,B,H
two_to_three_archives	15	000e0d767d0300d2e26194503e667a1f14595fca76475636781f1aac82d243f0	chr2	202961426	202966977	3	D,G,H
two_to_three_archives	16	000e33cdd1ac18c6b9ca44d1647c6f9d0aa7b8eacb9ab53349a4a013addc1b40	chr19	10216867	10465926	2	B,G
two_to_three_archives	17	000e66a2b1c4a317f8170ffa6a17128cbd4dd476a73c6da9019d534510b4385f	chr12	51690616	51696783	2	B,D
two_to_three_archives	18	000f38a3de8319c764a9f487d3240dd63ee22a68c3314c6fd4cf24b9953730d3	chr11	65499518	65499661	2	D,G
two_to_three_archives	19	000f5c7d37fc1507c656ef03bf2ece6e36895e899fe48e8e65f5102971e1de14	chr15	88905901	88906625	3	A,C,D
two_to_three_archives	20	000fb8850bfe6663b532f265749f6692d338da5993031f86e831cf6f64fa6a2d	chr16	29413628	29514832	2	D,F
two_to_three_archives	21	00103115434714244c566fe7cfafdf95ebdbd29dcbd3497c7b561c7ffa3f1295	chr17	29276498	29401400	2	G,H
two_to_three_archives	22	00117112a2242c73539b6831e8b8ada38872cb534f4280edc5e80bc8ae5df608	chr7	67560317	67857452	3	B,C,F
two_to_three_archives	23	0012c42903c0e16bb3a761c37e8b16630fc3afb98995ea28ed3ef1fe8c60b261	chr17	29419342	29515202	2	B,G
two_to_three_archives	24	001302b08cac3bf9c31059c8b4396bca3e2fe3904d13958e9f71df6e833e60d4	chr8	97682314	97717615	3	D,F,G
four_to_seven_archives	1	0000ac759a6be802a94c937add4f54f55496ee77ceeea6b0ae6ea338ac3d13f7	chr2	152619718	152622536	5	B,D,E,F,G
four_to_seven_archives	2	0000c4b4e80353e63ead89c4a0d0ba974c18542d2f0cc1210c927429e86db155	chr10	28596041	28608185	6	B,D,E,F,G,H
four_to_seven_archives	3	0001c11731be9db252fc66b223001ec95192eb2aa61c604637207d2738f2f851	chr7	67824198	67857452	4	B,C,F,H
four_to_seven_archives	4	000524eb9268a949be7e0e0d08e4b2cce3cf0fb0e7aeb209c4b59cc8cc92c3bb	chr9	125311071	125313831	4	A,B,C,D
four_to_seven_archives	5	0005a48423a95c451609de0a09a82e8920e98c86ac3d48c72da00d52d7670b8a	chr17	4938253	4938338	4	A,F,G,H
four_to_seven_archives	6	0006494e91e3beccd716c6a892f344cee7187e36d0d473709040888f5579c04a	chr2	36356623	36396613	6	B,C,D,E,F,G
four_to_seven_archives	7	0006e30eed440b24301306992bc24f2d97dd0b0330563018ae831a005a3953da	chr11	65499445	65499567	5	A,B,D,G,H
four_to_seven_archives	8	00072aa2d2eeb6b0df86c934f5a0608ce5bbea7b4816d7e3a01d7080e9d2fcb6	chr12	112081134	112087682	7	A,B,D,E,F,G,H
four_to_seven_archives	9	000852ca2fb469d2f079d7647a45afd76a53b140d2726662de10faed2a31bae6	chr1	92324375	92333390	4	A,C,D,G
four_to_seven_archives	10	00092a5af808814bf9a66fac6286a734f8bde1a7660fe2415af74234ca66d6a8	chr14	23081836	23090521	7	A,B,C,D,F,G,H
four_to_seven_archives	11	000a2891d0e7a144aadc68450099215bdc634b65d5f60fcf5098b8a299cdffcb	chr10	112433281	112434296	4	D,E,G,H
four_to_seven_archives	12	000bdaf6d9ec1994f771a2ffbc2be9376972ba04c9bb1e2b9288555fee35c2ad	chr5	59382406	59768241	6	B,D,E,F,G,H
four_to_seven_archives	13	000c1b3e5886b9770438e35f83adb59d9041a6e255767a3a4a8e42f218f56af9	chrX	46462874	46463197	6	B,D,E,F,G,H
four_to_seven_archives	14	000c5ac9094e58d88769b310de5bae475cca6f40c8368b624b63ec80cc0aaff6	chr11	94821821	94830049	4	A,D,E,G
four_to_seven_archives	15	000c69030c2926172ef1d03c9c7de903447f69f1c174186a8ffe09d7c19ca08a	chr12	105177262	105188272	6	B,C,D,F,G,H
four_to_seven_archives	16	000e5e92e3363e1f59cab6f293168f9f19fabd7964e967f445356197bf84b095	chr6	89853234	89854816	6	A,D,E,F,G,H
four_to_seven_archives	17	000f9bddf9f5b455f136b05ad0f1303680bf4384c09e5ba6e61a0aaa878f7333	chr2	209697051	209700276	4	A,D,F,G
four_to_seven_archives	18	000fc37ab8b1164f66bbf632a36841efa7e7f657bea04b69abd4afd11f541a1c	chr17	29352367	29373974	4	B,C,G,H
four_to_seven_archives	19	00101d698c59c5d0058629a85bb7d2757798f59e0ca2c81a22dd9502032bb72f	chr17	72428298	72431127	6	A,D,E,F,G,H
four_to_seven_archives	20	00105c40c81b9f0a73eb8b3811b419cc6879a30031292c520f6767361b7bafc7	chr4	186197602	186198956	7	A,B,C,D,F,G,H
four_to_seven_archives	21	0010d04aec5c918691500176a095f5a11529290aec7a89ef2c6bd79699a30c48	chr2	148510135	148512869	5	A,E,F,G,H
four_to_seven_archives	22	00142a97c1928fab6b0e064d19c0e5f71950fbac17fafd3754e3c2dba882ef6f	chr14	58215284	58219693	6	A,C,D,E,F,G
four_to_seven_archives	23	0015664eebda70821766d9c4bba854f39f87dfb7fac0926a1d8e0ec4edfc679e	chr15	65671886	65676444	5	B,C,D,G,H
four_to_seven_archives	24	001806e35e8f5fda876f6d8474799d03a94344b407b7fae9d941873548119912	chr6	10942746	10955115	5	B,D,E,F,G
eight_archives	1	000321ce6ca666311c17b9d57a8092cffb24913de383a377a5ac3359e5cbe579	chr8	68027323	68030496	8	A,B,C,D,E,F,G,H
eight_archives	2	0004b55ac223250eeb2c41cbb6a6796ba201c1f8874356a6f64fd09b3abf13f8	chr9	5656690	5689958	8	A,B,C,D,E,F,G,H
eight_archives	3	00080276a1abb42129d0e99002272fce5ec8c675528a92baed93e84b7f02ec98	chr15	22542850	22542942	8	A,B,C,D,E,F,G,H
eight_archives	4	000987f7a5a7d3260272bad05a95c6194602066168246a63ff7bfe990cc00c3c	chrX	129506211	129507940	8	A,B,C,D,E,F,G,H
eight_archives	5	000f2054d1c2719958c399fec02a2e7856da1b07beef6771e682a37b41bc3378	chr21	21280652	21284193	8	A,B,C,D,E,F,G,H
eight_archives	6	00108e1e88c5e17bae94762a9632dbb4751a890e5c2b76ffa6871fc919ac1bb5	chr12	94994257	95002738	8	A,B,C,D,E,F,G,H
eight_archives	7	001221c4f0f7c3dcb3529a38cd4fcf15d41f310d8981d371933022c1fba93d5c	chr5	65720829	65721916	8	A,B,C,D,E,F,G,H
eight_archives	8	0013072241ab5dcbf0d22ea99299138be5ea9ac73faa98cc29a9044bc958946d	chr17	2467876	2473523	8	A,B,C,D,E,F,G,H
eight_archives	9	0014a5db36341bca5b7de3f1b9463392af1abb9bba91e097e81d62af61305a17	chr17	31201159	31201410	8	A,B,C,D,E,F,G,H
eight_archives	10	001584b2746b34f0c71de28752eb036de47fd79d70087e6c07cb4a64411355d4	chr2	95962424	95962518	8	A,B,C,D,E,F,G,H
eight_archives	11	0017d3737aeabce5c904d8c82a85fb90559f93eb04de4efd57cde4ea17c8dad6	chr20	47291888	47294665	8	A,B,C,D,E,F,G,H
eight_archives	12	001a2fecdf84816245e87f98ebf261592abcbb21e33cc990499e3a7a98305c2e	chr4	15026458	15290004	8	A,B,C,D,E,F,G,H
eight_archives	13	001caa35aca759a54f02e3b7c24594500e075019dd5dcd5cd9adc420be17eaca	chr5	177511927	177512095	8	A,B,C,D,E,F,G,H
eight_archives	14	00215d437092aa30fab83e45a15e8089f2da698ce9f6817e93c3ece8076e6bd5	chr12	6534569	6534809	8	A,B,C,D,E,F,G,H
eight_archives	15	002160442a15b77358717dfe9b05468cb33e528b53bc5ac23dd162b94ac9dd52	chr5	174046884	174064231	8	A,B,C,D,E,F,G,H
eight_archives	16	0028e43de999ac14b234f767e784da93ad55e5116dfed6cf505b3142056850f1	chr4	88278642	88284405	8	A,B,C,D,E,F,G,H
eight_archives	17	00297e94c3329e3e737e116f85262d83bffe0d709062d58eb55701424ed8a4a7	chr12	66147941	66152270	8	A,B,C,D,E,F,G,H
eight_archives	18	002de893036223ddcba4aee2fb6f3b01804a6482724e7b48ca5756c3b65c43d1	chr7	17891635	17893331	8	A,B,C,D,E,F,G,H
eight_archives	19	002f263b4d4f4967b80a5907fe3cec885ec0608293e0fa4272123e826f271549	chr8	13110823	13115585	8	A,B,C,D,E,F,G,H
eight_archives	20	00328a4265314c954fd38e0a2b4f7d5cf7136ec4dc1aa043edf7360765723763	chr4	1090838	1096764	8	A,B,C,D,E,F,G,H
eight_archives	21	00330c708f856a17f91edf828c54d69dd4c25579d13de63ff2b04eac40224a88	chr12	120114860	120166456	8	A,B,C,D,E,F,G,H
eight_archives	22	00362b87081a84e640d9a156b51ba38ae0f5ae2ed0d85b5e7487c01fed10b47e	chr4	183666426	183667059	8	A,B,C,D,E,F,G,H
eight_archives	23	00377c3a1129f4ab349b6ca39fe96c8645f42e1d231f2b91b87d439d6906bd42	chr21	37159745	37160801	8	A,B,C,D,E,F,G,H
eight_archives	24	0038d02544b5ec150e254c99b37439a6def17210333656b2be32ba131b965c60	chr7	143267733	143268090	8	A,B,C,D,E,F,G,H
