gene_id	gene_name	gene_type	chrom	start	end	strand	d0_gene_umis	d1_gene_umis	stratum	matched	matched_candidate	candidate_umis	permissive_any_overlap	d1_expression	d1_discovery	polyasite	star_splice
ENSG00000290476	SUGT1P3	lncRNA	chr13	40798367	40921891	-	274	1272	same_strand	1	D0_006586	123	1	1	1	1	1
ENSG00000295871	ENSG00000295871	lncRNA	chr13	50123325	50124196	-	115	688	same_strand	1	D0_001412	279	1	1	1	1	0
ENSG00000304722	ENSG00000304722	lncRNA	chr13	114055489	114058392	-	66	352	same_strand	1	D0_013175	83	1	1	1	0	0
ENSG00000304656	ENSG00000304656	lncRNA	chr13	114076938	114134664	-	59	334	same_strand	1	D0_001778	247	1	1	1	1	1
ENSG00000290292	HOMEZ	protein_coding	chr14	23272421	23299796	-	56	255	same_strand	0		0	0	1	1	1	0
ENSG00000293497	ENSG00000293497	lncRNA	chr14	34911285	34983340	-	139	689	same_strand	1	D0_021026	18	1	1	1	1	1
ENSG00000289424	ENSG00000289424	lncRNA	chr14	52269178	52315491	-	193	707	antisense_only	1	D0_015849	69	1	1	1	1	1
ENSG00000288928	ENSG00000288928	lncRNA	chr14	61711206	61712972	+	268	682	same_strand	1	D0_001376	283	1	1	1	1	0
ENSG00000289340	ENSG00000289340	lncRNA	chr14	75257264	75259078	-	814	7404	same_strand	1	D0_000214	865	1	1	1	1	0
ENSG00000294598	ENSG00000294598	lncRNA	chr14	98860208	99076177	-	513	1937	same_strand	1	D0_020047	21	1	1	1	1	1
ENSG00000289137	ENSG00000289137	lncRNA	chr14	99281300	99296742	-	85	461	clean	1	D0_009551	100	1	1	1	1	1
ENSG00000290376	HERC2P3	lncRNA	chr15	20370221	20506198	-	56	266	same_strand	1	D0_023661	13	1	1	1	1	0
ENSG00000291003	ENSG00000291003	lncRNA	chr15	22494863	22590832	+	131	485	same_strand	0		0	0	1	1	1	1
ENSG00000290912	ENSG00000290912	lncRNA	chr15	23303720	23314566	+	157	287	same_strand	1	D0_022981	14	1	1	1	1	1
ENSG00000291082	HERC2P9	lncRNA	chr15	28589457	28685272	+	77	246	same_strand	0		0	0	1	1	1	1
ENSG00000290879	ENSG00000290879	lncRNA	chr15	28727675	28764647	+	73	380	same_strand	0		0	0	1	1	1	1
ENSG00000290876	WHAMMP4	lncRNA	chr15	30423658	30514548	+	99	340	same_strand	0		0	0	1	1	1	1
ENSG00000293141	ENSG00000293141	lncRNA	chr15	32492706	32533741	-	153	497	same_strand	1	D0_000990	343	1	1	1	1	1
ENSG00000291053	CATSPER2P1	lncRNA	chr15	43726740	43747104	-	50	223	same_strand	0		0	0	1	1	1	0
ENSG00000289948	ENSG00000289948	lncRNA	chr15	58146495	58146831	-	56	213	same_strand	0		0	0	1	1	0	0
ENSG00000293320	ENSG00000293320	lncRNA	chr15	82372195	82372916	-	600	1884	same_strand	0		0	0	1	1	1	1
ENSG00000291027	UBE2Q2P1	lncRNA	chr15	84507884	84571310	-	54	253	same_strand	0		0	0	1	1	1	1
ENSG00000291159	ENSG00000291159	lncRNA	chr15	84631439	84660091	+	128	712	same_strand	1	D0_012683	85	1	1	1	1	0
ENSG00000289017	ENSG00000289017	lncRNA	chr15	92908003	92909131	+	359	2694	same_strand	1	D0_000691	416	1	1	1	0	0
ENSG00000304654	ENSG00000304654	lncRNA	chr16	2556364	2557687	-	57	333	antisense_only	0		0	0	1	1	1	0
ENSG00000291228	ENSG00000291228	lncRNA	chr16	2603325	2635788	+	95	667	same_strand	0		0	0	1	1	1	1
ENSG00000290192	ENSG00000290192	lncRNA	chr16	21385800	21471843	+	147	720	same_strand	1	D0_010862	93	1	1	1	1	1
ENSG00000291073	ENSG00000291073	lncRNA	chr16	21446682	21520458	-	224	1290	same_strand	1	D0_003111	182	1	1	1	1	1
ENSG00000291066	ENSG00000291066	lncRNA	chr16	21796003	21820656	-	280	2114	same_strand	0		0	0	1	1	1	1
ENSG00000290865	RRN3P3	lncRNA	chr16	22418671	22437715	-	116	428	same_strand	0		0	0	1	1	1	1
ENSG00000291060	ENSG00000291060	lncRNA	chr16	22436737	22492220	+	162	739	same_strand	1	D0_007408	115	1	1	1	1	1
ENSG00000293550	ENSG00000293550	lncRNA	chr16	28605590	28614279	-	75	392	same_strand	0		0	0	1	0	1	1
ENSG00000293832	ENSG00000293832	lncRNA	chr16	29746232	29746465	+	166	638	same_strand	1	D0_002706	196	1	1	1	0	0
ENSG00000291266	SMG1P5	lncRNA	chr16	30285017	30335427	-	201	861	same_strand	0		0	0	1	1	1	0
ENSG00000288983	ENSG00000288983	lncRNA	chr16	30634486	30635572	+	69	481	clean	1	D0_010062	97	1	1	1	1	0
ENSG00000290927	ENSG00000290927	lncRNA	chr16	31700535	31711986	+	123	887	same_strand	0		0	0	1	1	1	0
ENSG00000289119	ENSG00000289119	lncRNA	chr16	48610288	48611254	+	80	921	antisense_only	1	D0_008334	108	1	1	1	1	0
ENSG00000291103	ENSG00000291103	lncRNA	chr16	53351432	53373387	-	152	638	same_strand	1	D0_003583	169	1	1	1	1	1
ENSG00000293016	ENSG00000293016	lncRNA	chr16	61055398	61055964	-	171	821	same_strand	1	D0_000379	593	1	1	1	1	0
ENSG00000289353	ENSG00000289353	lncRNA	chr16	66567155	66568898	+	59	224	same_strand	0		0	0	1	1	1	0
ENSG00000289618	ENSG00000289618	lncRNA	chr16	67999039	67999758	+	52	347	same_strand	0		0	0	1	1	1	0
ENSG00000291263	SMG1P7	lncRNA	chr16	70219481	70226033	-	66	187	same_strand	1	D0_010659	94	1	1	1	1	1
ENSG00000290890	PDPR2P	lncRNA	chr16	74305125	74368276	-	144	663	same_strand	1	D0_012200	87	1	1	1	1	1
ENSG00000293510	AFG3L1P	lncRNA	chr16	89972580	90002161	+	97	513	same_strand	0		0	0	1	1	1	1
ENSG00000289977	ENSG00000289977	lncRNA	chr17	7131201	7167201	+	170	675	same_strand	1	D0_000782	388	1	1	1	1	1
ENSG00000288748	ENSG00000288748	lncRNA	chr17	7835807	7838096	+	68	486	clean	1	D0_006498	124	1	1	1	0	0
ENSG00000301902	ENSG00000301902	lncRNA	chr17	8153424	8154246	-	718	3660	same_strand	1	D0_000236	826	1	1	1	1	0
ENSG00000290928	ENSG00000290928	lncRNA	chr17	30666960	30804079	+	129	601	same_strand	1	D0_015334	76	1	1	1	1	1
ENSG00000291063	ENSG00000291063	lncRNA	chr17	31008243	31093127	+	113	509	same_strand	0		0	0	1	1	1	1
ENSG00000295967	ENSG00000295967	lncRNA	chr17	41108230	41111781	+	126	133	clean	1	D0_003057	184	1	1	1	1	0
ENSG00000304661	ENSG00000304661	lncRNA	chr17	43315144	43318133	+	248	1234	clean	1	D0_000663	425	1	1	1	1	0
ENSG00000291175	ENSG00000291175	lncRNA	chr17	45501317	45586340	-	160	457	same_strand	1	D0_000770	391	1	1	1	1	1
ENSG00000304996	ENSG00000304996	lncRNA	chr17	45584285	45588624	+	68	238	same_strand	1	D0_000498	509	1	1	1	1	0
ENSG00000293460	LINC02210	lncRNA	chr17	45620327	45655156	+	60	394	same_strand	0		0	0	1	1	1	1
ENSG00000291209	ENSG00000291209	lncRNA	chr17	46978480	47056124	+	65	181	same_strand	0		0	0	1	1	1	0
ENSG00000293025	ENSG00000293025	lncRNA	chr17	48820588	48909017	-	53	205	same_strand	1	D0_002547	203	1	1	1	1	1
ENSG00000297935	ENSG00000297935	lncRNA	chr17	50148713	50160365	+	52	190	antisense_only	0		0	0	1	1	1	1
ENSG00000308112	ENSG00000308112	lncRNA	chr17	51120946	51122643	+	122	1082	clean	1	D0_004128	158	1	1	1	1	0
ENSG00000290039	ENSG00000290039	lncRNA	chr17	58658900	58659313	-	3365	16915	same_strand	1	D0_000231	834	1	1	1	1	0
ENSG00000293669	ENSG00000293669	lncRNA	chr17	64781483	64837207	-	348	1446	same_strand	1	D0_011726	89	1	1	1	1	1
ENSG00000291140	AMZ2P1	lncRNA	chr17	64966424	64975683	-	107	616	same_strand	1	D0_020696	19	1	1	1	1	1
ENSG00000291214	ENSG00000291214	lncRNA	chr17	68101870	68161227	+	350	1684	same_strand	1	D0_000827	379	1	1	1	1	1
ENSG00000290793	ENSG00000290793	lncRNA	chr17	68205488	68207493	+	85	404	same_strand	0		0	0	1	0	1	0
ENSG00000289070	ENSG00000289070	lncRNA	chr17	74521025	74544846	+	56	327	antisense_only	1	D0_006871	120	1	1	1	1	1
ENSG00000293751	ENSG00000293751	lncRNA	chr17	81861101	81865086	+	105	761	same_strand	1	D0_003544	170	1	1	1	1	0
ENSG00000288839	ENSG00000288839	lncRNA	chr18	13744158	13745777	+	77	395	same_strand	1	D0_011987	88	1	1	1	1	0
ENSG00000293516	ZNF271P	lncRNA	chr18	35267591	35328390	+	148	723	same_strand	0		0	0	1	1	1	1
ENSG00000301129	ENSG00000301129	lncRNA	chr19	12793196	12793572	-	82	432	same_strand	1	D0_003914	162	1	1	1	1	0
ENSG00000304130	ENSG00000304130	lncRNA	chr19	13839188	13841282	+	367	3113	antisense_only	1	D0_000727	403	1	1	1	0	0
ENSG00000308616	ENSG00000308616	lncRNA	chr19	13843045	13845136	+	56	563	clean	1	D0_000377	596	1	1	1	1	0
ENSG00000296918	ENSG00000296918	lncRNA	chr19	13846495	13847883	-	61	471	clean	1	D0_004774	147	1	1	1	1	0
ENSG00000296943	ENSG00000296943	lncRNA	chr19	13846897	13848036	+	230	3177	clean	0		0	1	1	1	0	0
ENSG00000294667	ENSG00000294667	lncRNA	chr19	14006920	14007496	+	61	478	antisense_only	1	D0_001916	237	1	1	1	1	0
ENSG00000302647	ENSG00000302647	lncRNA	chr19	14374933	14375191	-	65	414	clean	1	D0_000830	378	1	1	1	0	0
ENSG00000290008	ENSG00000290008	lncRNA	chr19	15332593	15344642	+	56	355	same_strand	1	D0_001472	273	1	1	1	1	1
ENSG00000299858	ENSG00000299858	lncRNA	chr19	18279731	18280083	+	91	546	antisense_only	1	D0_005093	142	1	1	1	1	1
ENSG00000297373	ENSG00000297373	lncRNA	chr19	18281790	18285933	+	400	11798	same_strand	1	D0_000220	850	1	1	1	1	1
ENSG00000297388	ENSG00000297388	lncRNA	chr19	18282091	18282968	+	83	2281	same_strand	0		0	1	1	1	1	0
ENSG00000293959	ENSG00000293959	lncRNA	chr19	18292906	18321999	+	67	432	antisense_only	1	D0_008932	104	1	1	1	1	1
ENSG00000291177	ZNF56P	lncRNA	chr19	19775999	19836200	+	125	740	same_strand	0		0	0	1	1	1	1
ENSG00000288920	RPSA2	protein_coding	chr19	23762943	23871162	+	485	1701	same_strand	1	D0_000301	683	1	1	1	1	1
ENSG00000288942	ENSG00000288942	lncRNA	chr19	35267861	35268131	-	88	549	antisense_only	1	D0_009576	100	1	1	1	1	0
ENSG00000304370	ENSG00000304370	lncRNA	chr19	35908620	35909370	-	51	195	clean	1	D0_016369	53	1	1	1	0	0
ENSG00000288919	ENSG00000288919	lncRNA	chr19	39402777	39404506	+	199	1662	clean	1	D0_000801	384	1	1	1	1	0
ENSG00000289298	ENSG00000289298	lncRNA	chr19	41530215	41531859	-	225	2315	antisense_only	1	D0_001462	274	1	1	1	1	0
ENSG00000288827	ENSG00000288827	lncRNA	chr19	47349354	47350224	+	88	423	same_strand	1	D0_004132	158	1	1	1	1	0
ENSG00000295248	ENSG00000295248	lncRNA	chr19	49817617	49817959	+	115	989	clean	1	D0_005551	135	1	1	1	0	0
ENSG00000291230	NAPSB	lncRNA	chr19	50333791	50344806	-	302	2650	same_strand	1	D0_006393	125	1	1	1	1	1
ENSG00000293495	C19orf48P	lncRNA	chr19	50797686	50804931	-	101	753	same_strand	0		0	0	1	1	1	1
ENSG00000293246	ZNF321P	lncRNA	chr19	52927134	52942601	-	82	460	same_strand	0		0	0	1	1	1	1
ENSG00000291131	ENSG00000291131	lncRNA	chr19	53197050	53257684	+	75	148	same_strand	1	D0_017717	34	1	1	1	1	1
ENSG00000293185	TPM3P9	lncRNA	chr19	53431983	53444670	+	55	167	same_strand	1	D0_005482	136	1	1	1	1	0
ENSG00000295857	ENSG00000295857	lncRNA	chr19	54295997	54299359	-	127	894	same_strand	1	D0_006217	127	1	1	1	1	0
ENSG00000288899	ENSG00000288899	lncRNA	chr19	57297510	57298391	+	244	864	clean	1	D0_001239	302	1	1	1	1	0
ENSG00000289191	ENSG00000289191	lncRNA	chr2	8281457	8282797	-	52	216	same_strand	0		0	0	1	1	1	0
ENSG00000300218	ENSG00000300218	lncRNA	chr2	30164683	30169389	+	138	1454	clean	1	D0_000192	916	1	1	1	1	0
ENSG00000289013	ENSG00000289013	lncRNA	chr2	40394672	40396777	-	99	340	same_strand	1	D0_008957	103	1	1	1	0	0
ENSG00000289272	ENSG00000289272	lncRNA	chr2	44228187	44229195	+	86	346	same_strand	1	D0_008513	106	1	1	1	0	0
ENSG00000289627	ENSG00000289627	lncRNA	chr2	54581576	54582580	+	65	250	same_strand	0		0	0	1	1	0	0
ENSG00000293434	AHSA2P	lncRNA	chr2	61177417	61191203	+	299	1482	same_strand	0		0	0	1	1	1	1
ENSG00000289410	ENSG00000289410	lncRNA	chr2	61678548	61764699	-	61	349	same_strand	1	D0_004475	151	1	1	1	1	0
ENSG00000289855	ENSG00000289855	lncRNA	chr2	61763892	61766653	+	62	955	clean	1	D0_010113	96	1	1	1	1	0
ENSG00000293616	PCBP1-AS1	lncRNA	chr2	69962262	70089206	-	224	947	same_strand	0		0	0	1	1	1	1
ENSG00000289463	ENSG00000289463	lncRNA	chr2	71419973	71422314	+	103	315	same_strand	1	D0_008674	105	1	1	1	0	0
ENSG00000290110	ENSG00000290110	lncRNA	chr2	85328083	85328945	+	62	414	antisense_only	1	D0_004962	143	1	1	1	1	0
ENSG00000307645	ENSG00000307645	lncRNA	chr2	88002586	88016780	-	155	438	same_strand	1	D0_005030	142	1	1	1	1	0
ENSG00000291127	ANKRD36BP2	lncRNA	chr2	88765738	88806619	+	63	135	same_strand	0		0	0	1	0	1	1
ENSG00000290846	ENSG00000290846	lncRNA	chr2	89539627	89585714	-	50	181	same_strand	0		0	0	1	1	1	0
ENSG00000288948	ENSG00000288948	lncRNA	chr2	101797889	101800135	+	61	313	same_strand	0		0	0	1	1	0	0
ENSG00000302152	ENSG00000302152	lncRNA	chr2	127700092	127700595	-	61	347	clean	1	D0_014796	77	1	1	1	0	0
ENSG00000293311	SMPD4BP	lncRNA	chr2	131492812	131521576	+	69	269	same_strand	1	D0_012045	87	1	1	1	1	1
ENSG00000289974	ENSG00000289974	lncRNA	chr2	136119267	136120289	+	97	631	clean	1	D0_005890	130	1	1	1	1	0
ENSG00000303865	ENSG00000303865	lncRNA	chr2	142873581	142874209	+	95	402	clean	1	D0_004599	149	1	1	1	0	0
ENSG00000307107	ENSG00000307107	lncRNA	chr2	144490972	144501960	+	95	356	antisense_only	1	D0_007450	114	1	1	1	1	0
ENSG00000309294	ENSG00000309294	lncRNA	chr2	156341812	156367486	+	183	1244	antisense_only	1	D0_009951	97	1	1	1	1	0
ENSG00000290018	ENSG00000290018	lncRNA	chr2	174719820	174720853	+	150	470	same_strand	1	D0_000381	591	1	1	1	1	0
ENSG00000288900	ENSG00000288900	lncRNA	chr2	191673766	191677869	-	119	424	clean	1	D0_001783	246	1	1	1	1	0
ENSG00000293913	ENSG00000293913	lncRNA	chr2	196210953	196211385	-	96	322	same_strand	1	D0_003180	179	1	1	1	0	0
ENSG00000289698	ENSG00000289698	lncRNA	chr2	201273052	201277529	+	67	444	same_strand	0		0	0	1	1	1	1
ENSG00000289294	ENSG00000289294	lncRNA	chr2	203237260	203239307	-	144	732	antisense_only	1	D0_003651	167	1	1	1	1	0
ENSG00000291236	ENSG00000291236	lncRNA	chr2	218059153	218065732	-	77	348	same_strand	0		0	0	1	0	1	0
ENSG00000291147	ENSG00000291147	lncRNA	chr2	242086098	242176052	+	59	237	same_strand	1	D0_020192	20	1	1	1	1	1
ENSG00000291100	ENSG00000291100	lncRNA	chr20	28559375	28603092	-	281	1408	same_strand	0		0	0	1	1	1	1
ENSG00000289872	ENSG00000289872	lncRNA	chr20	35742410	35745031	+	573	2569	clean	1	D0_000336	637	1	1	1	1	1
ENSG00000294546	ENSG00000294546	lncRNA	chr20	48921056	48921642	-	63	271	clean	1	D0_005014	143	1	1	1	1	0
ENSG00000291067	ENSG00000291067	lncRNA	chr20	58228924	58310190	-	108	484	same_strand	0		0	0	1	1	1	1
ENSG00000291050	TEKT4P2	lncRNA	chr21	8995097	9129773	-	140	597	same_strand	1	D0_011755	89	1	1	1	1	1
