candidate_id	chrom	start	end	strand	d0_umis	d0_cells	annotation_history_class	matched_primary_gene	overlapping_v49_added_genes	d1_discovery	polyasite	star_splice	support_count
D0_000042	chr9	6488002	6488933	+	4579	1920	preexisting_v49_gene_span			1	1	0	2
D0_000043	chr9	95686432	95686456	+	4299	3680	preexisting_v49_gene_span			1	0	0	1
D0_000044	chr1	633381	634220	+	3877	1472	preexisting_v49_gene_span			1	1	0	2
D0_000045	chr17	58658050	58659051	-	3863	847	other_v49_added_gene		ENSG00000290039	1	1	0	2
D0_000046	chr19	45475067	45476068	+	3862	1048	preexisting_v49_gene_span			1	1	0	2
D0_000047	chr5	172766609	172767610	-	3806	1097	preexisting_v49_gene_span			1	1	0	2
D0_000048	chr4	81594203	81594252	-	3760	2219	preexisting_v49_gene_span			1	0	0	1
D0_000049	chr14	75282241	75293918	+	3752	1034	preexisting_v49_gene_span			1	1	1	3
D0_000050	chr14	70765158	70765786	+	3733	2107	unresolved			0	0	0	0
D0_000051	chr20	58423167	58423861	+	3714	2142	preexisting_v49_gene_span			1	0	0	1
D0_000052	chr11	82689589	82689943	+	3690	1372	preexisting_v49_gene_span			1	1	0	2
D0_000053	chr6	124616401	124616614	-	3628	2138	unresolved			1	0	0	1
D0_000054	chr1	165981686	165981718	+	3532	1871	unresolved			0	0	0	0
D0_000055	chr11	65499203	65499974	+	3488	1482	preexisting_v49_gene_span			1	1	1	3
D0_000056	chr6	32552806	32553683	-	3428	672	primary_match	ENSG00000290878	ENSG00000290878	1	1	1	3
D0_000057	chr7	137513875	137514330	+	3312	1059	preexisting_v49_gene_span			1	1	0	2
D0_000058	chr3	7162707	7162744	-	3244	1813	unresolved			0	0	0	0
D0_000059	chr1	22091151	22092140	-	2971	1147	unresolved			1	1	0	2
D0_000060	chr19	18274580	18279686	+	2926	998	unresolved			1	1	1	3
D0_000061	chr19	45477117	45478109	+	2831	779	unresolved			1	0	0	1
D0_000062	chr20	50840180	50841017	-	2782	1087	preexisting_v49_gene_span			1	1	0	2
D0_000063	chr16	55719785	55720439	-	2759	1083	unresolved			1	0	0	1
D0_000064	chr19	16327878	16351270	+	2721	851	preexisting_v49_gene_span			1	1	1	3
D0_000065	chr5	160942085	161281802	-	2672	1495	unresolved			1	1	0	2
D0_000066	chr11	74745656	74746073	-	2645	1264	preexisting_v49_gene_span			1	0	0	1
D0_000067	chr19	45476074	45477060	+	2635	831	unresolved			1	1	0	2
D0_000068	chr2	206071003	206071880	-	2628	1582	preexisting_v49_gene_span			1	1	0	2
D0_000069	chr22	35838252	35838637	-	2589	1169	primary_match	ENSG00000294512	ENSG00000294512,ENSG00000293594	1	0	0	1
D0_000070	chr16	29507114	29527564	-	2531	1066	preexisting_v49_gene_span			1	0	0	1
D0_000071	chr12	9759565	9760564	-	2508	740	preexisting_v49_gene_span			1	1	0	2
D0_000072	chrX	123514370	123515248	+	2467	976	preexisting_v49_gene_span			1	0	0	1
D0_000073	chrX	44794615	44838339	+	2450	941	unresolved			1	1	0	2
D0_000074	chr1	110899928	110929977	+	2417	932	preexisting_v49_gene_span			1	1	1	3
D0_000075	chr7	107770149	107770463	-	2390	1600	preexisting_v49_gene_span			1	0	0	1
D0_000076	chr5	131516038	131517018	-	2286	1538	preexisting_v49_gene_span			1	1	0	2
D0_000077	chr4	83086234	83090032	+	2254	849	unresolved			1	1	0	2
D0_000078	chr10	69089154	69090144	+	2246	785	preexisting_v49_gene_span			1	0	0	1
D0_000079	chrM	0	576	+	2242	936	unresolved			1	0	0	1
D0_000080	chr15	43115616	43116458	-	2231	1122	preexisting_v49_gene_span			1	1	1	3
D0_000081	chr2	3617112	3617233	-	2214	1080	unresolved			1	1	0	2
D0_000082	chr2	157386008	157414611	-	2207	927	preexisting_v49_gene_span			1	1	0	2
D0_000083	chrM	7262	8258	+	2150	1004	preexisting_v49_gene_span			1	0	0	1
D0_000084	chr14	34546877	34555303	+	2115	783	preexisting_v49_gene_span			1	1	0	2
D0_000085	chrX	79200447	79200484	+	2090	1398	unresolved			1	0	0	1
D0_000086	chr5	179614209	179614938	+	2078	956	unresolved			1	1	0	2
D0_000087	chr16	69561006	69561055	+	2060	1262	unresolved			0	1	0	1
D0_000088	chr15	44711982	44712955	+	2026	1044	preexisting_v49_gene_span			1	1	1	3
D0_000089	chr12	95466398	95467381	-	2024	1037	unresolved			1	1	0	2
D0_000090	chr8	4364634	4364890	+	2011	1374	unresolved			1	0	0	1
D0_000091	chr9	79391769	79391917	+	1954	898	unresolved			1	1	0	2
D0_000092	chr6	73372892	73373724	-	1948	1015	preexisting_v49_gene_span			1	1	0	2
D0_000093	chr16	72849657	72849915	+	1936	1303	preexisting_v49_gene_span			0	0	0	0
D0_000094	chrX	39786905	39787130	-	1935	777	preexisting_v49_gene_span			1	1	0	2
D0_000095	chr12	69353313	69354137	-	1934	450	preexisting_v49_gene_span			1	0	1	2
D0_000096	chr12	93639885	93640795	-	1931	839	unresolved			1	1	0	2
D0_000097	chr4	95049418	95049425	-	1925	499	unresolved			0	0	0	0
D0_000098	chr1	225999615	226003304	+	1894	793	primary_match	ENSG00000289341	ENSG00000289341	1	1	0	2
D0_000099	chr1	64416207	64416890	+	1881	1179	unresolved			1	0	0	1
D0_000100	chr13	74051700	74136378	-	1859	697	preexisting_v49_gene_span			1	1	0	2
D0_000101	chr7	22510296	22510618	-	1823	1003	preexisting_v49_gene_span			1	1	0	2
D0_000102	chr12	7934233	7935234	-	1810	677	preexisting_v49_gene_span			1	0	0	1
D0_000103	chr10	69091164	69092084	+	1763	690	preexisting_v49_gene_span			1	0	0	1
D0_000104	chr17	17383319	17383589	-	1744	977	preexisting_v49_gene_span			1	1	0	2
D0_000105	chrM	16025	16569	+	1731	896	unresolved			1	0	0	1
D0_000106	chr8	82658201	82658213	+	1722	1286	preexisting_v49_gene_span			1	1	0	2
D0_000107	chr9	27571691	27572692	-	1693	652	preexisting_v49_gene_span			1	1	0	2
D0_000108	chr2	160879249	160960203	+	1677	1170	other_v49_added_gene		ENSG00000307318	1	1	0	2
D0_000109	chr12	104265105	104265913	+	1653	937	preexisting_v49_gene_span			1	1	0	2
D0_000110	chr4	164742447	164742490	+	1617	1182	unresolved			1	1	0	2
D0_000111	chr12	69353690	69354265	+	1614	415	preexisting_v49_gene_span			1	1	1	3
D0_000112	chr8	100719419	100720412	-	1605	783	preexisting_v49_gene_span			1	1	0	2
D0_000113	chr7	106268601	106269602	-	1587	450	preexisting_v49_gene_span			1	0	0	1
D0_000114	chr9	73156929	73157740	+	1578	390	preexisting_v49_gene_span			1	0	0	1
D0_000115	chr7	5527236	5528133	+	1564	720	unresolved			1	1	0	2
D0_000116	chr5	83528473	83529474	+	1519	377	preexisting_v49_gene_span			1	0	0	1
D0_000117	chr5	172766861	172767847	+	1518	775	preexisting_v49_gene_span			1	1	0	2
D0_000118	chrX	124326125	124326148	-	1509	857	unresolved			1	1	0	2
D0_000119	chr1	242975148	242988961	+	1502	869	unresolved			1	0	0	1
D0_000120	chr21	18858305	18858496	+	1492	777	unresolved			1	1	0	2
D0_000121	chr5	150407281	150408282	-	1470	496	preexisting_v49_gene_span			1	1	0	2
D0_000122	chrM	15795	16569	+	1466	872	preexisting_v49_gene_span			1	0	0	1
D0_000123	chr14	103335955	103336592	+	1460	757	preexisting_v49_gene_span			1	0	0	1
D0_000124	chr9	30998985	31114184	+	1456	911	unresolved			1	1	0	2
D0_000125	chr1	92840995	92841909	+	1433	783	preexisting_v49_gene_span			1	1	0	2
D0_000126	chr21	8254591	8255592	+	1419	842	unresolved			1	1	0	2
D0_000127	chr17	50863695	50864078	+	1406	699	unresolved			1	0	0	1
D0_000128	chr5	58935469	58935500	-	1401	995	unresolved			1	0	0	1
D0_000129	chr3	77090297	77090341	-	1376	1045	unresolved			0	0	0	0
D0_000130	chr10	3785550	3789421	+	1361	685	other_v49_added_gene		ENSG00000288755	1	1	0	2
D0_000131	chr11	67682689	67683001	-	1334	833	preexisting_v49_gene_span			1	1	0	2
D0_000132	chr16	54195458	54195483	+	1327	1016	unresolved			0	1	0	1
D0_000133	chr6	14123104	14123998	+	1319	502	preexisting_v49_gene_span			1	1	0	2
D0_000134	chr8	30081349	30082345	-	1304	712	preexisting_v49_gene_span			1	1	0	2
D0_000135	chr14	105643012	105643488	-	1302	83	preexisting_v49_gene_span			0	1	1	2
D0_000136	chr2	83009060	83180511	-	1295	946	other_v49_added_gene		ENSG00000302192,ENSG00000300188	0	1	0	1
D0_000137	chr4	108624919	108625808	+	1287	846	preexisting_v49_gene_span			1	1	0	2
D0_000138	chr3	152302518	152303519	+	1285	742	preexisting_v49_gene_span			1	1	0	2
D0_000139	chr6	137868014	137868985	+	1278	506	preexisting_v49_gene_span			1	1	0	2
D0_000140	chr2	196135415	196135800	+	1259	709	unresolved			1	1	0	2
D0_000141	chr1	150572224	150573204	-	1256	550	preexisting_v49_gene_span			1	1	0	2
D0_000142	chr20	21166130	21166318	-	1254	802	preexisting_v49_gene_span			1	1	0	2
D0_000143	chr12	55409888	55411064	+	1235	722	unresolved			1	1	0	2
D0_000144	chr5	3508809	3508845	+	1232	898	other_v49_added_gene		ENSG00000309259	1	0	0	1
D0_000145	chr20	35741024	35741940	-	1218	714	preexisting_v49_gene_span			1	1	0	2
D0_000146	chr1	52772111	52772245	-	1214	791	preexisting_v49_gene_span			1	1	0	2
D0_000147	chr2	171517218	171517679	-	1209	787	preexisting_v49_gene_span			1	1	0	2
D0_000148	chr6	159043729	159044723	-	1205	576	preexisting_v49_gene_span			1	1	0	2
D0_000149	chr6	139135682	139136677	+	1185	672	preexisting_v49_gene_span			1	1	0	2
D0_000150	chr5	116051837	116052020	-	1161	751	preexisting_v49_gene_span			1	1	0	2
D0_000151	chr17	32382020	32411193	+	1161	612	preexisting_v49_gene_span			1	1	0	2
D0_000152	chr9	33032646	33033622	+	1156	584	preexisting_v49_gene_span			1	0	0	1
D0_000153	chr6	32637826	32638735	+	1154	332	preexisting_v49_gene_span			1	1	0	2
D0_000154	chr2	230510468	230510817	-	1153	879	other_v49_added_gene		ENSG00000308860	1	1	0	2
D0_000155	chr5	168616790	168617082	+	1152	765	preexisting_v49_gene_span			1	1	0	2
D0_000156	chr7	5422329	5423271	-	1139	585	preexisting_v49_gene_span			1	0	0	1
D0_000157	chr2	196169191	196170184	-	1135	673	preexisting_v49_gene_span			1	1	0	2
D0_000158	chr7	106259239	106260236	-	1133	390	preexisting_v49_gene_span			1	1	0	2
D0_000159	chr9	6037846	6038106	-	1123	757	unresolved			1	0	0	1
D0_000160	chr12	9011065	9027314	+	1120	343	unresolved			1	1	0	2
D0_000161	chr12	124911336	124911994	-	1118	778	preexisting_v49_gene_span			1	1	0	2
D0_000162	chr10	80246595	80247125	-	1114	665	unresolved			1	1	0	2
D0_000163	chr2	50399682	50399873	+	1105	888	unresolved			1	0	0	1
D0_000164	chr9	128342677	128342779	+	1104	695	preexisting_v49_gene_span			1	1	0	2
D0_000165	chr6	132816851	132817581	+	1100	769	preexisting_v49_gene_span			1	1	1	3
D0_000166	chr5	32887972	32888084	-	1098	669	preexisting_v49_gene_span			0	1	0	1
D0_000167	chr16	22528280	22529280	-	1097	643	unresolved			1	0	0	1
D0_000168	chr1	36476240	36476981	-	1090	372	preexisting_v49_gene_span			1	0	0	1
D0_000169	chr9	134910776	134911772	-	1075	326	preexisting_v49_gene_span			1	0	1	2
D0_000170	chr3	61742403	61742548	-	1065	721	preexisting_v49_gene_span			1	1	0	2
D0_000171	chr18	6462069	6462970	-	1065	719	other_v49_added_gene		ENSG00000293300	1	1	1	3
D0_000172	chr4	83085686	83090038	-	1063	588	preexisting_v49_gene_span			1	1	0	2
D0_000173	chr1	192716657	192717082	+	1053	725	unresolved			1	0	0	1
D0_000174	chrM	4036	4546	+	1048	721	preexisting_v49_gene_span			1	0	0	1
D0_000175	chr2	180872695	180873053	-	1040	565	preexisting_v49_gene_span			1	1	0	2
D0_000176	chr10	69093166	69094159	+	1039	473	preexisting_v49_gene_span			1	1	0	2
D0_000177	chr19	53555368	53556274	+	1032	404	preexisting_v49_gene_span			1	1	0	2
D0_000178	chr2	196147156	196148104	-	1025	565	preexisting_v49_gene_span			1	0	0	1
D0_000179	chr12	68613197	68614121	+	1018	614	preexisting_v49_gene_span			1	0	0	1
D0_000180	chr17	78138885	78139882	+	1014	584	preexisting_v49_gene_span			1	0	0	1
D0_000181	chr12	7931621	7932621	-	1011	488	preexisting_v49_gene_span			1	0	0	1
D0_000182	chr14	98972793	98972996	-	1007	689	other_v49_added_gene		ENSG00000294598	1	1	0	2
D0_000183	chrX	70963044	70963356	+	1004	693	preexisting_v49_gene_span			1	1	0	2
D0_000184	chr14	91864777	91865773	-	964	478	preexisting_v49_gene_span			1	0	0	1
D0_000185	chr2	60881851	60882848	+	962	579	preexisting_v49_gene_span			1	0	0	1
D0_000186	chr16	69373723	69374691	+	958	764	unresolved			1	1	0	2
D0_000187	chr8	81521480	81522368	-	942	607	preexisting_v49_gene_span			1	0	0	1
D0_000188	chr5	138469320	138488766	+	935	291	preexisting_v49_gene_span			1	1	0	2
D0_000189	chr7	106266588	106267579	-	935	395	preexisting_v49_gene_span			1	1	0	2
D0_000190	chr5	142778320	142779312	+	932	394	preexisting_v49_gene_span			1	1	0	2
D0_000191	chr12	9757536	9758536	-	923	454	preexisting_v49_gene_span			1	1	0	2
D0_000192	chr2	30160534	30174592	+	916	430	primary_match	ENSG00000300218	ENSG00000300218	1	1	0	2
D0_000193	chr7	66741795	66742794	+	908	534	preexisting_v49_gene_span			1	0	0	1
D0_000194	chr12	7923201	7924172	-	903	459	preexisting_v49_gene_span			1	1	0	2
D0_000195	chr5	61335864	61336865	+	902	487	preexisting_v49_gene_span			1	1	0	2
D0_000196	chr15	65296602	65297589	+	901	484	unresolved			1	1	0	2
D0_000197	chr12	9029434	9049914	+	900	310	preexisting_v49_gene_span			1	1	0	2
D0_000198	chr8	114029499	114030142	-	898	575	unresolved			1	1	0	2
D0_000199	chr15	57300951	57301948	+	898	230	preexisting_v49_gene_span			1	1	0	2
D0_000200	chr1	149471163	149472155	+	897	551	preexisting_v49_gene_span			1	1	0	2
D0_000201	chr1	150570215	150571213	-	897	463	preexisting_v49_gene_span			1	0	0	1
D0_000202	chr1	150569201	150570198	-	896	434	preexisting_v49_gene_span			1	0	0	1
D0_000203	chr2	156328057	156329029	-	895	475	preexisting_v49_gene_span			1	1	0	2
D0_000204	chr18	35042485	35043486	+	894	496	preexisting_v49_gene_span			1	0	0	1
D0_000205	chr11	65501056	65502053	-	889	498	other_v49_added_gene		ENSG00000289740	1	1	0	2
D0_000206	chr2	32866713	32867058	-	885	723	unresolved			1	0	0	1
D0_000207	chr6	31268627	31269156	-	882	605	preexisting_v49_gene_span			1	1	0	2
D0_000208	chrX	140033519	140033891	+	882	561	unresolved			1	0	0	1
D0_000209	chr3	155988200	155989066	+	879	602	unresolved			1	1	0	2
D0_000210	chr16	69981167	69982036	+	878	553	other_v49_added_gene		ENSG00000305455	1	0	0	1
D0_000211	chr7	106270605	106271601	-	869	367	preexisting_v49_gene_span			1	1	0	2
D0_000212	chr1	112670354	112670869	-	868	575	unresolved			1	0	0	1
D0_000213	chr15	92888905	92889893	+	867	547	preexisting_v49_gene_span			1	0	0	1
D0_000214	chr14	75257947	75258939	-	865	448	primary_match	ENSG00000289340	ENSG00000289340	1	1	0	2
D0_000215	chr8	37894889	37895861	-	862	423	preexisting_v49_gene_span			1	0	0	1
D0_000216	chr7	27456336	27458077	-	861	563	unresolved			1	1	0	2
D0_000217	chrX	137324905	137324958	-	856	611	unresolved			0	0	0	0
D0_000218	chr15	77618511	77618783	-	851	711	preexisting_v49_gene_span			1	0	0	1
D0_000219	chr3	101576397	101577329	-	850	609	preexisting_v49_gene_span			1	1	0	2
D0_000220	chr19	18281641	18289036	+	850	403	primary_match	ENSG00000297373	ENSG00000297373,ENSG00000297388	1	1	1	3
D0_000221	chr5	56504580	56505015	-	844	575	preexisting_v49_gene_span			1	1	0	2
D0_000222	chr11	65499052	65500052	-	844	512	primary_match	ENSG00000289740	ENSG00000289740	1	1	0	2
D0_000223	chr21	8986604	8988749	+	844	570	preexisting_v49_gene_span			1	1	0	2
D0_000224	chr11	62536937	62537937	-	842	331	preexisting_v49_gene_span			1	0	0	1
D0_000225	chr5	70479306	70483433	-	841	466	primary_match	ENSG00000300109	ENSG00000300109	1	1	0	2
D0_000226	chr3	152325255	152326235	+	840	577	preexisting_v49_gene_span			1	0	0	1
D0_000227	chr12	9239292	9240252	-	840	611	other_v49_added_gene		ENSG00000309182	1	1	0	2
D0_000228	chr15	44718878	44728894	+	836	487	unresolved			1	1	1	3
D0_000229	chr6	14122079	14122947	+	835	404	preexisting_v49_gene_span			1	1	0	2
D0_000230	chr4	102814251	102815251	-	834	474	preexisting_v49_gene_span			1	1	0	2
D0_000231	chr17	58659052	58659808	-	834	466	primary_match	ENSG00000290039	ENSG00000290039	1	1	0	2
D0_000232	chrM	16024	16569	-	833	510	unresolved			1	0	0	1
D0_000233	chr7	44467918	44468910	+	831	594	preexisting_v49_gene_span			1	1	0	2
D0_000234	KI270721.1	2605	16085	+	830	533	unresolved			1	0	0	1
D0_000235	chr2	196149163	196150097	-	829	512	preexisting_v49_gene_span			1	0	0	1
D0_000236	chr17	8152855	8153827	-	826	532	primary_match	ENSG00000301902	ENSG00000301902	1	1	0	2
D0_000237	chr10	11196266	11197265	+	816	521	preexisting_v49_gene_span			1	1	0	2
D0_000238	chr2	207530159	207531157	+	812	517	preexisting_v49_gene_span			1	1	0	2
D0_000239	chr17	27295442	27296425	+	811	523	preexisting_v49_gene_span			1	0	0	1
D0_000240	chr16	1961399	1962207	-	810	562	preexisting_v49_gene_span			1	1	0	2
D0_000241	chr15	63577510	63578511	+	805	493	preexisting_v49_gene_span			1	0	0	1
D0_000242	chr6	32517356	32518021	-	804	370	preexisting_v49_gene_span			1	1	0	2
D0_000243	chr22	50532586	50541082	+	804	428	other_v49_added_gene		ENSG00000296451	1	1	0	2
D0_000244	chr9	35071294	35071707	-	802	531	other_v49_added_gene		ENSG00000288699	1	0	0	1
D0_000245	chr19	45478918	45485056	+	802	286	unresolved			1	1	0	2
D0_000246	chr4	132528094	132528217	+	796	576	unresolved			1	1	0	2
D0_000247	chrX	24076932	24077673	-	791	543	unresolved			1	1	0	2
D0_000248	chrM	9270	10262	+	790	647	preexisting_v49_gene_span			1	0	1	2
D0_000249	chr1	203309610	203319643	+	787	361	unresolved			1	1	0	2
D0_000250	chr19	48965836	48966834	+	786	515	preexisting_v49_gene_span			1	1	1	3
D0_000251	chr19	12642385	12643274	-	785	583	unresolved			1	1	0	2
D0_000252	chr1	19608483	19609482	+	783	594	preexisting_v49_gene_span			1	1	0	2
D0_000253	chr14	25266315	25266593	-	779	501	unresolved			1	1	0	2
D0_000254	chr5	150404959	150405960	-	778	372	preexisting_v49_gene_span			1	1	0	2
D0_000255	chr11	35140395	35141351	+	778	432	preexisting_v49_gene_span			1	1	0	2
D0_000256	chrX	30630826	30649501	+	777	470	unresolved			1	1	0	2
D0_000257	chr10	3784199	3784796	-	770	472	preexisting_v49_gene_span			1	1	0	2
D0_000258	chr5	83523324	83524228	+	766	284	preexisting_v49_gene_span			1	0	0	1
D0_000259	chr10	69095168	69096152	+	766	379	preexisting_v49_gene_span			1	0	0	1
D0_000260	chr19	12794093	12795042	+	765	398	unresolved			1	1	0	2
D0_000261	chr1	150571216	150572217	-	764	405	preexisting_v49_gene_span			1	0	0	1
D0_000262	chr19	39942632	39943749	-	763	538	preexisting_v49_gene_span			1	1	0	2
D0_000263	chr3	152311781	152312781	+	762	529	preexisting_v49_gene_span			1	1	0	2
D0_000264	chrX	150230806	150231035	-	762	537	unresolved			1	0	0	1
D0_000265	chr6	73509322	73515673	-	759	465	preexisting_v49_gene_span			1	1	0	2
D0_000266	chr9	73154924	73155924	+	758	301	preexisting_v49_gene_span			1	0	0	1
D0_000267	chr20	43461341	43461675	-	757	508	other_v49_added_gene		ENSG00000295152	1	1	0	2
D0_000268	chr20	58902725	58903151	-	757	466	unresolved			1	0	0	1
D0_000269	chr1	167630450	167631388	+	754	519	preexisting_v49_gene_span			1	1	0	2
D0_000270	chr10	73422206	73422212	-	752	552	unresolved			1	1	0	2
D0_000271	chr18	77130115	77131115	-	751	429	preexisting_v49_gene_span			1	1	0	2
D0_000272	chr3	161429052	161429280	-	748	546	preexisting_v49_gene_span			1	1	0	2
D0_000273	chr20	58896070	58896972	+	747	448	preexisting_v49_gene_span			1	1	0	2
D0_000274	chr19	14391290	14392278	+	743	365	preexisting_v49_gene_span			1	1	0	2
D0_000275	chr16	23841215	23842081	-	741	453	unresolved			1	0	0	1
D0_000276	chrX	23783727	23784728	-	739	423	unresolved			1	0	0	1
D0_000277	chr2	196168190	196169191	-	737	485	preexisting_v49_gene_span			1	0	0	1
D0_000278	chr19	7391997	7392993	+	736	472	preexisting_v49_gene_span			1	1	0	2
D0_000279	chr3	152328503	152329499	+	735	507	preexisting_v49_gene_span			1	0	0	1
D0_000280	chr1	58775489	58780789	-	734	445	preexisting_v49_gene_span			1	1	0	2
D0_000281	chr7	36504602	36512921	-	732	372	preexisting_v49_gene_span			1	1	0	2
D0_000282	chr17	75765673	75776427	-	732	322	unresolved			1	1	1	3
D0_000283	chr1	207325029	207326007	+	729	455	preexisting_v49_gene_span			1	1	0	2
D0_000284	chr17	78765682	78766109	+	729	488	unresolved			1	0	0	1
D0_000285	chr17	28468356	28468457	+	727	554	preexisting_v49_gene_span			1	0	0	1
D0_000286	chr5	18111418	18185444	+	714	539	unresolved			1	1	0	2
D0_000287	chr5	80650792	80651480	-	714	517	preexisting_v49_gene_span			1	1	0	2
D0_000288	chr2	60553217	60553933	+	713	301	unresolved			1	0	0	1
D0_000289	chr12	89699750	89700750	-	712	357	preexisting_v49_gene_span			1	0	0	1
D0_000290	chr16	6380395	6380415	-	711	626	unresolved			0	1	0	1
D0_000291	chr2	58252525	58252692	+	701	513	unresolved			1	0	0	1
D0_000292	chrM	2610	3395	+	699	549	preexisting_v49_gene_span			1	0	0	1
D0_000293	chr5	55944633	55945613	+	697	521	preexisting_v49_gene_span			1	1	0	2
D0_000294	chr16	4414594	4415592	-	697	413	preexisting_v49_gene_span			1	0	0	1
D0_000295	chr17	29741624	29742624	-	693	436	preexisting_v49_gene_span			1	0	0	1
D0_000296	chr16	29404418	29425781	-	687	479	preexisting_v49_gene_span			1	1	0	2
D0_000297	chr10	120354635	120355108	-	686	537	preexisting_v49_gene_span			1	1	0	2
D0_000298	chr5	150409977	150410936	+	685	358	unresolved			1	0	0	1
D0_000299	chr1	154188561	154189181	+	684	556	unresolved			0	0	0	0
D0_000300	chr5	150408899	150409761	+	684	317	unresolved			1	0	0	1
D0_000301	chr19	23827919	23828743	+	683	507	primary_match	ENSG00000288920	ENSG00000288920	1	1	0	2
D0_000302	chr11	67274088	67274859	-	679	485	unresolved			1	0	0	1
D0_000303	chr12	62965666	62966043	+	679	534	preexisting_v49_gene_span			1	1	0	2
D0_000304	chr10	97387272	97387976	-	678	316	preexisting_v49_gene_span			1	0	0	1
D0_000305	chr11	123042217	123057379	-	677	284	preexisting_v49_gene_span			1	1	0	2
D0_000306	chr17	43314053	43322863	-	677	424	other_v49_added_gene		ENSG00000304683	1	1	0	2
D0_000307	chr19	39409430	39412648	+	674	369	unresolved			1	1	0	2
D0_000308	chr10	69096227	69097146	+	672	387	preexisting_v49_gene_span			1	0	0	1
D0_000309	chr19	7363226	7364226	+	671	406	preexisting_v49_gene_span			1	1	0	2
D0_000310	chr6	36605679	36621994	+	670	354	preexisting_v49_gene_span			1	1	0	2
D0_000311	chr16	88648604	88649465	-	668	463	preexisting_v49_gene_span			1	1	0	2
D0_000312	chr5	79284042	79284255	-	666	525	preexisting_v49_gene_span			1	0	0	1
