candidate_id	chrom	start	end	strand	d0_umis	d0_cells	annotation_history_class	matched_primary_gene	overlapping_v49_added_genes	d1_discovery	polyasite	star_splice	support_count
D0_000043	chr12	9011065	9027314	+	1120	343	unresolved			1	1	0	2
D0_000044	chr10	80246595	80247125	-	1114	665	unresolved			1	1	0	2
D0_000045	chr4	83085686	83090038	-	1063	588	preexisting_v49_gene_span			1	1	0	2
D0_000046	chr5	138469320	138488766	+	935	291	preexisting_v49_gene_span			1	1	0	2
D0_000047	chr2	30160534	30174592	+	916	430	primary_match	ENSG00000300218	ENSG00000300218	1	1	0	2
D0_000048	chr12	9029434	9049914	+	900	310	preexisting_v49_gene_span			1	1	0	2
D0_000049	chr8	114029499	114030142	-	898	575	unresolved			1	1	0	2
D0_000050	chrX	140033519	140033891	+	882	561	unresolved			1	0	0	1
D0_000051	chr3	155988200	155989066	+	879	602	unresolved			1	1	0	2
D0_000052	chr7	27456336	27458077	-	861	563	unresolved			1	1	0	2
D0_000053	chr19	18281641	18289036	+	850	403	primary_match	ENSG00000297373	ENSG00000297373,ENSG00000297388	1	1	1	3
D0_000054	chr21	8986604	8988749	+	844	570	preexisting_v49_gene_span			1	1	0	2
D0_000055	chr5	70479306	70483433	-	841	466	primary_match	ENSG00000300109	ENSG00000300109	1	1	0	2
D0_000056	chr15	44718878	44728894	+	836	487	unresolved			1	1	1	3
D0_000057	chrM	16024	16569	-	833	510	unresolved			1	0	0	1
D0_000058	KI270721.1	2605	16085	+	830	533	unresolved			1	0	0	1
D0_000059	chr22	50532586	50541082	+	804	428	other_v49_added_gene		ENSG00000296451	1	1	0	2
D0_000060	chr19	45478918	45485056	+	802	286	unresolved			1	1	0	2
D0_000061	chr4	132528094	132528217	+	796	576	unresolved			1	1	0	2
D0_000062	chr1	203309610	203319643	+	787	361	unresolved			1	1	0	2
D0_000063	chr19	12642385	12643274	-	785	583	unresolved			1	1	0	2
D0_000064	chr14	25266315	25266593	-	779	501	unresolved			1	1	0	2
D0_000065	chrX	30630826	30649501	+	777	470	unresolved			1	1	0	2
D0_000066	chr19	39942632	39943749	-	763	538	preexisting_v49_gene_span			1	1	0	2
D0_000067	chrX	150230806	150231035	-	762	537	unresolved			1	0	0	1
D0_000068	chr6	73509322	73515673	-	759	465	preexisting_v49_gene_span			1	1	0	2
D0_000069	chr1	58775489	58780789	-	734	445	preexisting_v49_gene_span			1	1	0	2
D0_000070	chr7	36504602	36512921	-	732	372	preexisting_v49_gene_span			1	1	0	2
D0_000071	chr17	75765673	75776427	-	732	322	unresolved			1	1	1	3
D0_000072	chr5	18111418	18185444	+	714	539	unresolved			1	1	0	2
D0_000073	chr2	58252525	58252692	+	701	513	unresolved			1	0	0	1
D0_000074	chr16	29404418	29425781	-	687	479	preexisting_v49_gene_span			1	1	0	2
D0_000075	chr11	123042217	123057379	-	677	284	preexisting_v49_gene_span			1	1	0	2
D0_000076	chr17	43314053	43322863	-	677	424	other_v49_added_gene		ENSG00000304683	1	1	0	2
D0_000077	chr19	39409430	39412648	+	674	369	unresolved			1	1	0	2
D0_000078	chr6	36605679	36621994	+	670	354	preexisting_v49_gene_span			1	1	0	2
D0_000079	chr1	171470015	171485442	-	651	333	unresolved			1	1	0	2
D0_000080	chr20	35742371	35744750	+	637	416	primary_match	ENSG00000289872	ENSG00000289872	1	1	1	3
D0_000081	chr12	9116408	9123894	+	636	282	unresolved			1	0	0	1
D0_000082	chr19	18178118	18192984	+	621	263	preexisting_v49_gene_span			1	1	1	3
D0_000083	chr1	44726933	44731313	-	620	319	other_v49_added_gene		ENSG00000302489	1	1	0	2
D0_000084	chrX	24354818	24354962	+	620	441	unresolved			1	1	0	2
D0_000085	chr12	7900432	7918927	-	616	202	unresolved			1	1	0	2
D0_000086	chr9	33039918	33041708	+	615	354	unresolved			1	1	0	2
D0_000087	chr13	74010012	74048987	-	614	346	preexisting_v49_gene_span			1	1	0	2
D0_000088	chr1	28095038	28095707	-	611	445	other_v49_added_gene		ENSG00000289576	1	1	0	2
D0_000089	chr16	29609151	29613082	-	605	382	preexisting_v49_gene_span			1	1	0	2
D0_000090	chr12	120288121	120295710	-	604	370	other_v49_added_gene		ENSG00000310566	1	1	0	2
D0_000091	chr17	59842266	59859473	+	602	330	other_v49_added_gene		ENSG00000307176	1	1	1	3
D0_000092	chr9	80232098	80299264	+	601	142	other_v49_added_gene		ENSG00000295651	1	1	1	3
D0_000093	chr19	13842937	13853835	+	596	366	primary_match	ENSG00000308616	ENSG00000308616,ENSG00000296943	1	1	0	2
D0_000094	chr5	107194860	107195155	-	587	439	unresolved			1	0	0	1
D0_000095	chr5	70208005	70209283	-	578	418	other_v49_added_gene		ENSG00000300022	1	0	0	1
D0_000096	GL000218.1	46904	97454	-	575	383	unresolved			1	1	0	2
D0_000097	chr1	148522765	148529813	+	571	354	unresolved			1	1	0	2
D0_000098	chr2	138574467	138587149	+	571	333	preexisting_v49_gene_span			1	0	0	1
D0_000099	chr2	75268031	75416944	-	569	174	other_v49_added_gene		ENSG00000306791	1	1	0	2
D0_000100	chr5	70137007	70193556	-	567	407	primary_match	ENSG00000300022	ENSG00000300022	1	1	0	2
D0_000101	chr17	46487594	46503850	+	567	387	unresolved			1	1	0	2
D0_000102	chr6	89085320	89095204	+	566	364	preexisting_v49_gene_span			1	1	0	2
D0_000103	chr9	134895407	134903213	-	559	296	unresolved			1	0	0	1
D0_000104	chr20	5291342	5291879	-	558	426	unresolved			1	1	0	2
D0_000105	chr19	16327889	16337763	-	548	324	unresolved			1	1	0	2
D0_000106	chr9	131561664	131576363	-	542	307	unresolved			1	1	0	2
D0_000107	chr2	136198699	136198828	-	540	425	unresolved			1	0	0	1
D0_000108	chr6	131305581	131443484	-	540	230	other_v49_added_gene		ENSG00000290067	1	1	1	3
D0_000109	chr14	22502295	22515202	+	532	292	preexisting_v49_gene_span			1	1	0	2
D0_000110	chr1	28648734	28652412	+	526	327	preexisting_v49_gene_span			1	1	0	2
D0_000111	chr17	32383372	32403301	-	526	356	unresolved			1	1	1	3
D0_000112	chr14	103345176	103354030	+	523	319	unresolved			1	1	0	2
D0_000113	chr18	63063659	63122379	-	521	458	unresolved			1	1	0	2
D0_000114	chr9	80361621	80528702	+	517	115	other_v49_added_gene		ENSG00000297623,ENSG00000296683	1	1	0	2
D0_000115	chr6	32567344	32578720	-	509	270	preexisting_v49_gene_span			1	1	0	2
D0_000116	chr17	45566443	45585796	+	509	372	primary_match	ENSG00000304996	ENSG00000304996	1	1	0	2
D0_000117	chr2	106603739	106697295	-	508	387	unresolved			1	1	0	2
D0_000118	chr4	105486087	105486409	+	504	392	unresolved			1	0	0	1
D0_000119	chr19	18274512	18279692	-	500	365	unresolved			1	1	1	3
D0_000120	chr5	69624190	69630426	+	495	272	primary_match	ENSG00000290556	ENSG00000290556	1	0	0	1
D0_000121	chr7	39811543	39812560	+	490	436	unresolved			1	1	0	2
D0_000122	chr6	32859877	32865078	+	488	346	preexisting_v49_gene_span			1	1	0	2
D0_000123	chr9	41359051	41408032	+	487	337	other_v49_added_gene		ENSG00000288891	1	1	0	2
D0_000124	chr9	41229440	41234991	-	480	279	other_v49_added_gene		ENSG00000308900	1	1	0	2
D0_000125	chr14	75272866	75278529	+	480	287	other_v49_added_gene		ENSG00000302945	1	1	0	2
D0_000126	chr9	75147274	75161397	+	479	347	other_v49_added_gene		ENSG00000308405	1	1	0	2
D0_000127	chr12	66057580	66058566	+	478	472	unresolved			1	0	0	1
D0_000128	chr19	14503372	14513999	+	475	208	unresolved			1	1	0	2
D0_000129	GL000194.1	61541	115073	-	475	339	unresolved			1	1	0	2
D0_000130	chr11	65414336	65422456	-	472	324	primary_match	ENSG00000305830	ENSG00000305830,ENSG00000305844	1	1	0	2
D0_000131	chr5	69978624	69981021	+	469	352	other_v49_added_gene		ENSG00000295602	1	0	0	1
D0_000132	chr12	9208572	9224064	+	466	229	preexisting_v49_gene_span			1	1	0	2
D0_000133	chr5	70090359	70094050	-	465	329	unresolved			1	0	0	1
D0_000134	chr2	97271140	97281226	+	460	308	preexisting_v49_gene_span			1	1	0	2
D0_000135	chr1	144412377	144417816	+	455	323	preexisting_v49_gene_span			1	1	0	2
D0_000136	chr2	44065417	44066674	-	453	348	preexisting_v49_gene_span			1	1	0	2
D0_000137	chr5	42993278	42994813	-	444	296	preexisting_v49_gene_span			1	1	0	2
D0_000138	chr5	138469549	138488100	-	442	184	unresolved			1	1	0	2
D0_000139	chr17	41692716	41700041	+	442	284	unresolved			1	1	0	2
D0_000140	chr16	3236638	3242027	-	441	239	preexisting_v49_gene_span			1	1	0	2
D0_000141	chr20	3876701	3888081	+	441	289	unresolved			1	1	0	2
D0_000142	chr16	30254757	30265781	-	438	351	preexisting_v49_gene_span			1	0	0	1
D0_000143	chr1	44817478	44819843	-	436	265	preexisting_v49_gene_span			1	0	0	1
D0_000144	chr5	71193468	71197541	-	436	355	other_v49_added_gene		ENSG00000296329	1	0	0	1
D0_000145	chr5	138543434	138553412	+	433	315	primary_match	ENSG00000289155	ENSG00000299264,ENSG00000289155	1	1	0	2
D0_000146	chr5	70829601	70835749	+	431	327	other_v49_added_gene		ENSG00000297805	1	0	0	1
D0_000147	chr11	65506520	65514347	+	430	274	preexisting_v49_gene_span			1	1	0	2
D0_000148	chr1	234609536	234612653	-	428	282	primary_match	ENSG00000303740	ENSG00000303740,ENSG00000303726	1	1	0	2
D0_000149	chr17	78841457	78845301	+	428	273	preexisting_v49_gene_span			1	0	0	1
D0_000150	chr17	43315895	43324062	+	425	319	primary_match	ENSG00000304661	ENSG00000304661	1	1	0	2
D0_000151	chr9	92689199	92709922	-	424	232	unresolved			1	1	0	2
D0_000152	chr20	4573100	4590981	-	423	375	other_v49_added_gene		ENSG00000306995	1	1	0	2
D0_000153	GL000220.1	104030	160889	-	420	334	unresolved			1	1	0	2
D0_000154	chr3	56710387	56727152	-	419	225	unresolved			1	1	0	2
D0_000155	chr20	5611009	5705487	+	415	263	other_v49_added_gene		ENSG00000305410	1	1	0	2
D0_000156	chr17	80126474	80133850	-	412	204	unresolved			1	1	0	2
D0_000157	chr15	44722894	44728817	-	410	248	unresolved			1	0	0	1
D0_000158	chr7	56093990	56101572	-	409	286	preexisting_v49_gene_span			1	1	0	2
D0_000159	chr2	218368126	218374754	+	408	189	preexisting_v49_gene_span			1	1	0	2
D0_000160	chr3	31648914	31657802	+	404	243	unresolved			1	1	0	2
D0_000161	chr9	63816440	63823130	+	404	267	primary_match	ENSG00000309428	ENSG00000309428	1	1	0	2
D0_000162	chr14	75282256	75288444	-	404	262	unresolved			1	1	1	3
D0_000163	chr17	45575399	45585796	-	403	305	other_v49_added_gene		ENSG00000291175	1	1	0	2
D0_000164	chr20	4024444	4024629	+	402	300	unresolved			1	0	0	1
D0_000165	chrX	52832228	52832396	-	401	329	unresolved			1	1	0	2
D0_000166	chr3	108856494	108883352	+	399	217	unresolved			1	1	0	2
D0_000167	chr19	14502892	14514505	-	399	179	preexisting_v49_gene_span			1	1	0	2
D0_000168	chr22	26786603	26841431	+	395	259	preexisting_v49_gene_span			1	1	0	2
D0_000169	chr1	110900102	110902567	-	394	315	other_v49_added_gene		ENSG00000304336	1	1	0	2
D0_000170	chr2	157376127	157380658	-	392	307	preexisting_v49_gene_span			1	1	0	2
D0_000171	chr17	45563593	45574309	-	391	314	primary_match	ENSG00000291175	ENSG00000291175	1	1	0	2
D0_000172	chr17	7131231	7146011	+	388	227	primary_match	ENSG00000289977	ENSG00000289977	1	1	1	3
D0_000173	chr22	39973792	39990459	+	386	238	unresolved			1	1	0	2
D0_000174	chr6	36111308	36123312	+	385	274	preexisting_v49_gene_span			1	1	0	2
D0_000175	chr19	39400966	39406778	+	384	263	primary_match	ENSG00000288919	ENSG00000288919	1	1	0	2
D0_000176	chr14	22535323	22546417	+	383	231	preexisting_v49_gene_span			1	0	0	1
D0_000177	chr20	63523169	63527615	+	383	262	preexisting_v49_gene_span			1	1	0	2
D0_000178	chrY	1648094	1731243	+	383	269	other_v49_added_gene		ENSG00000310540	1	0	0	1
D0_000179	chr19	8514353	8520754	-	382	278	preexisting_v49_gene_span			1	1	0	2
D0_000180	chr17	46488675	46503920	-	381	284	preexisting_v49_gene_span			1	1	0	2
D0_000181	chr11	85947860	85957156	-	380	283	unresolved			1	1	0	2
D0_000182	chr4	164943945	164944050	+	379	319	unresolved			1	1	0	2
D0_000183	chr7	128626901	128642368	+	379	281	preexisting_v49_gene_span			1	0	1	2
D0_000184	chr17	68115523	68125776	+	379	286	primary_match	ENSG00000291214	ENSG00000291214	1	1	1	3
D0_000185	chr19	14370222	14375192	-	378	237	primary_match	ENSG00000302647	ENSG00000302647	1	1	1	3
D0_000186	chr7	142797339	142800814	+	376	229	other_v49_added_gene		ENSG00000310430	1	1	0	2
D0_000187	chr7	67239743	67278707	-	371	239	primary_match	ENSG00000291154	ENSG00000291154	1	1	0	2
D0_000188	chr10	43409172	43412117	+	370	255	preexisting_v49_gene_span			1	1	0	2
D0_000189	chr17	59842480	59844816	-	369	221	unresolved			1	1	0	2
D0_000190	chr6	29945903	29956100	+	368	304	preexisting_v49_gene_span			1	1	0	2
D0_000191	chr6	35321788	35337544	+	366	240	preexisting_v49_gene_span			1	1	0	2
D0_000192	chr19	39400643	39406775	-	364	245	other_v49_added_gene		ENSG00000307007,ENSG00000307025,ENSG00000307054	1	0	0	1
D0_000193	chr3	112695399	112695756	-	361	281	other_v49_added_gene		ENSG00000309198	1	1	0	2
D0_000194	chr4	48062739	48066385	-	361	240	preexisting_v49_gene_span			1	1	0	2
D0_000195	chr11	65416581	65422657	+	361	264	primary_match	ENSG00000290057	ENSG00000290057	1	1	1	3
D0_000196	chr22	39063642	39070082	+	361	167	primary_match	ENSG00000289963	ENSG00000289963	1	1	0	2
D0_000197	chr16	11535762	11547702	-	360	222	preexisting_v49_gene_span			1	1	0	2
D0_000198	chr1	149364982	149372290	+	358	236	unresolved			1	0	0	1
D0_000199	chrX	155383237	155383801	+	357	294	other_v49_added_gene		ENSG00000288709	1	0	0	1
D0_000200	chr19	53780986	53793133	-	352	190	preexisting_v49_gene_span			1	1	0	2
D0_000201	chr5	66094422	66113810	+	347	193	unresolved			1	1	0	2
D0_000202	chr2	171762367	171773729	+	346	234	unresolved			1	1	0	2
D0_000203	chr5	70480594	70483355	+	345	248	primary_match	ENSG00000291221	ENSG00000291221	1	0	0	1
D0_000204	chr10	69104849	69110142	+	345	214	unresolved			1	1	0	2
D0_000205	chr11	107316301	107325571	-	343	262	preexisting_v49_gene_span			1	1	0	2
D0_000206	chr15	32516640	32519777	-	343	272	primary_match	ENSG00000293141	ENSG00000293141	1	1	0	2
D0_000207	chr19	50490969	50503298	+	341	176	unresolved			1	1	0	2
D0_000208	chrX	65075470	65108829	+	340	186	preexisting_v49_gene_span			1	1	1	3
D0_000209	chr22	47177635	47190132	+	339	197	unresolved			1	1	0	2
D0_000210	chr6	151391562	151404565	+	337	243	unresolved			1	1	0	2
D0_000211	chr11	61161824	61166559	-	337	179	preexisting_v49_gene_span			1	1	0	2
D0_000212	chr2	200845786	200852619	-	334	222	preexisting_v49_gene_span			1	1	0	2
D0_000213	chr5	70854747	70863438	+	332	267	primary_match	ENSG00000297805	ENSG00000297805	1	1	0	2
D0_000214	chr14	75272659	75278585	-	332	230	preexisting_v49_gene_span			1	1	0	2
D0_000215	chr3	185900865	185914308	-	330	206	unresolved			1	1	0	2
D0_000216	chr10	6360382	6421150	-	329	181	other_v49_added_gene		ENSG00000289934,ENSG00000302136	1	1	0	2
D0_000217	chr19	3180725	3185558	+	326	246	unresolved			1	1	0	2
D0_000218	chr15	65304795	65311522	+	325	231	unresolved			1	1	0	2
D0_000219	chr16	30257684	30265746	+	320	269	unresolved			1	0	0	1
D0_000220	chr1	145979540	145992389	-	319	203	unresolved			1	1	0	2
D0_000221	chr14	98970895	98972878	-	319	282	other_v49_added_gene		ENSG00000294598	1	1	0	2
D0_000222	chr14	20477222	20482342	+	318	198	unresolved			1	1	0	2
D0_000223	KI270706.1	1303	73488	+	312	211	unresolved			1	1	0	2
D0_000224	chr11	105035254	105041211	-	311	218	preexisting_v49_gene_span			1	1	0	2
D0_000225	chr2	46630918	46645474	+	310	226	preexisting_v49_gene_span			1	1	0	2
D0_000226	chr17	64471493	64477766	+	310	215	preexisting_v49_gene_span			1	1	0	2
D0_000227	KI270713.1	16771	22425	-	309	241	unresolved			1	1	0	2
D0_000228	chr4	75909248	75913177	-	308	212	preexisting_v49_gene_span			1	1	0	2
D0_000229	chr9	93041033	93051996	+	308	214	unresolved			1	1	0	2
D0_000230	chr14	24166816	24171505	+	307	222	preexisting_v49_gene_span			1	1	0	2
D0_000231	chr7	5514266	5527078	-	305	181	preexisting_v49_gene_span			1	0	0	1
D0_000232	chr19	48876058	48880963	+	304	229	preexisting_v49_gene_span			1	1	0	2
D0_000233	chrY	13225595	13237488	-	304	237	preexisting_v49_gene_span			1	1	0	2
D0_000234	chr5	57167914	57173392	-	303	200	primary_match	ENSG00000289152	ENSG00000289152	1	1	0	2
D0_000235	chr7	72836767	72841939	+	303	261	primary_match	ENSG00000291152	ENSG00000291152	1	1	0	2
D0_000236	chr19	57294500	57300942	+	302	259	primary_match	ENSG00000288899	ENSG00000288899	1	1	0	2
D0_000237	chr6	36605661	36620979	-	299	176	other_v49_added_gene		ENSG00000301446	1	1	1	3
D0_000238	chr16	29406188	29415168	+	299	232	unresolved			1	1	0	2
D0_000239	chr6	26108416	26114864	-	297	160	preexisting_v49_gene_span			1	1	0	2
D0_000240	chr8	101206205	101208032	+	296	210	unresolved			1	1	0	2
D0_000241	chr12	9845635	9852982	-	296	209	preexisting_v49_gene_span			1	1	0	2
D0_000242	chr14	99142567	99156172	-	296	144	unresolved			1	0	0	1
D0_000243	chr4	25728724	25747142	-	292	144	unresolved			1	1	0	2
D0_000244	chr1	44815662	44819732	+	291	151	preexisting_v49_gene_span			1	1	0	2
D0_000245	chr14	92693691	92703793	+	289	206	unresolved			1	1	0	2
D0_000246	chr1	52669914	52684234	+	287	212	unresolved			1	1	0	2
D0_000247	KI270733.1	120125	177524	-	286	246	unresolved			1	1	0	2
D0_000248	chr6	136289912	136293635	+	285	212	primary_match	ENSG00000289312	ENSG00000289312	1	1	0	2
D0_000249	chr19	18178736	18192486	-	284	174	unresolved			1	1	0	2
D0_000250	chr3	157142688	157146499	+	282	195	preexisting_v49_gene_span			1	1	0	2
D0_000251	chr21	32563314	32567968	-	282	190	preexisting_v49_gene_span			1	1	0	2
D0_000252	chr9	70417959	70420899	-	281	252	primary_match	ENSG00000289159	ENSG00000289159	1	1	1	3
D0_000253	chr12	124899314	124911603	-	281	205	other_v49_added_gene		ENSG00000294609	1	1	0	2
D0_000254	chr11	6700069	6713528	-	279	223	primary_match	ENSG00000291143	ENSG00000291143	1	1	0	2
D0_000255	chrY	1310385	1326903	+	279	175	other_v49_added_gene		ENSG00000292357	1	0	0	1
D0_000256	chr17	75765545	75772742	+	278	142	unresolved			1	1	1	3
D0_000257	chr19	57297503	57298911	-	278	238	unresolved			1	0	0	1
D0_000258	chr8	38383469	38385923	+	276	197	unresolved			1	1	0	2
D0_000259	chr2	32323014	32334880	+	274	201	unresolved			1	1	0	2
D0_000260	chr19	41528991	41531205	-	274	181	primary_match	ENSG00000289298	ENSG00000289298	1	1	0	2
D0_000261	chr10	46163246	46186067	-	273	170	other_v49_added_gene		ENSG00000299562	1	1	0	2
D0_000262	chr19	15332582	15340285	+	273	175	primary_match	ENSG00000290008	ENSG00000290008	1	1	1	3
D0_000263	chr2	113584135	113587447	+	271	230	other_v49_added_gene		ENSG00000291134,ENSG00000310523	1	1	0	2
D0_000264	chr5	168616996	168617088	+	270	239	unresolved			1	1	0	2
D0_000265	chr6	16148249	16159118	+	270	198	preexisting_v49_gene_span			1	1	0	2
D0_000266	chr6	32652369	32655744	-	270	167	unresolved			1	1	0	2
D0_000267	chr19	21276794	21289032	-	270	196	preexisting_v49_gene_span			1	1	0	2
D0_000268	chr7	44069456	44071908	+	267	223	unresolved			1	1	0	2
D0_000269	chr1	156714164	156721834	-	266	188	preexisting_v49_gene_span			1	1	0	2
D0_000270	chr19	49718232	49733624	-	266	223	preexisting_v49_gene_span			1	1	0	2
D0_000271	chr22	23907271	23926804	-	265	211	other_v49_added_gene		ENSG00000290199	1	1	0	2
D0_000272	chr6	123760379	123760452	+	264	54	unresolved			1	0	0	1
D0_000273	chr17	74517796	74521012	-	264	163	preexisting_v49_gene_span			1	1	0	2
D0_000274	chr1	149159848	149162782	-	263	178	unresolved			1	0	0	1
D0_000275	chr17	22521366	22521480	-	262	213	unresolved			1	1	0	2
D0_000276	chr9	80324418	80338158	+	260	96	unresolved			1	1	0	2
D0_000277	chr1	96448318	96557839	+	259	225	other_v49_added_gene		ENSG00000296873,ENSG00000296892	1	1	0	2
D0_000278	chr4	166535530	166603815	+	259	236	unresolved			1	1	0	2
D0_000279	chr12	31787937	31790890	-	259	225	unresolved			1	1	0	2
D0_000280	GL000219.1	77560	100228	-	259	220	unresolved			1	1	1	3
D0_000281	chr22	40938578	40951087	-	258	178	unresolved			1	1	0	2
D0_000282	chr3	196455485	196468755	-	257	166	unresolved			1	1	0	2
D0_000283	chr6	37029113	37043784	+	257	183	preexisting_v49_gene_span			1	1	0	2
D0_000284	chr9	75167214	75174429	+	257	189	other_v49_added_gene		ENSG00000308405	1	1	0	2
D0_000285	chr3	51538836	51541044	+	256	227	primary_match	ENSG00000307241	ENSG00000307241	1	0	0	1
D0_000286	chr7	128658870	128666798	+	256	211	preexisting_v49_gene_span			1	1	0	2
D0_000287	chr6	29635431	29636038	-	255	222	other_v49_added_gene		ENSG00000301820	1	1	0	2
D0_000288	chr6	30992859	30994969	-	254	221	unresolved			0	0	0	0
D0_000289	chr13	27945433	27945590	+	254	220	other_v49_added_gene		ENSG00000298037	1	1	0	2
D0_000290	chr15	59689559	59692051	+	254	189	unresolved			1	1	0	2
D0_000291	chr16	22536547	22545112	+	254	215	unresolved			1	0	0	1
D0_000292	chr1	25240471	25241826	+	253	194	preexisting_v49_gene_span			1	1	0	2
D0_000293	chr3	152545757	152594001	-	253	244	unresolved			1	1	0	2
D0_000294	chr4	141425935	141438040	+	252	157	other_v49_added_gene		ENSG00000306779	1	1	0	2
D0_000295	chr15	32467566	32473137	-	252	196	other_v49_added_gene		ENSG00000307175	1	0	0	1
D0_000296	chr8	134821718	134832239	-	251	183	other_v49_added_gene		ENSG00000289405	1	1	0	2
D0_000297	chr14	90410063	90423039	-	250	123	unresolved			1	1	0	2
D0_000298	chr2	112825894	112829692	-	249	111	unresolved			1	0	0	1
D0_000299	chr6	57915892	57919445	-	249	216	other_v49_added_gene		ENSG00000290555	1	0	0	1
D0_000300	chr3	50658159	50667621	+	248	177	unresolved			1	1	1	3
D0_000301	chr6	30597180	30600382	-	248	174	unresolved			1	1	0	2
D0_000302	chr11	123050644	123055769	+	248	156	preexisting_v49_gene_span			1	0	0	1
D0_000303	chrX	65212913	65234543	+	248	128	preexisting_v49_gene_span			1	1	0	2
D0_000304	chr1	145281466	145284780	+	247	196	preexisting_v49_gene_span			1	1	0	2
D0_000305	chr5	177315822	177323184	-	247	175	preexisting_v49_gene_span			1	1	0	2
D0_000306	chr9	73170402	73176671	+	247	135	preexisting_v49_gene_span			1	1	0	2
D0_000307	chr14	52311054	52314282	-	247	182	other_v49_added_gene		ENSG00000289424	1	1	1	3
D0_000308	chr19	45478869	45485215	-	247	144	unresolved			1	1	1	3
D0_000309	chr2	191675174	191677880	-	246	198	primary_match	ENSG00000288900	ENSG00000288900	1	1	0	2
D0_000310	chr19	48876161	48880961	-	246	183	unresolved			1	1	0	2
D0_000311	chrX	73223558	73223746	+	245	216	unresolved			1	1	0	2
D0_000312	chr7	102522823	102531879	-	244	196	unresolved			1	1	0	2
D0_000313	chr8	30083468	30087224	+	243	168	unresolved			1	1	0	2
