event_id	event_type	genes	fully_annotated	min_abs_delta	median_abs_delta	total_usage_denominator
alt_acceptor:chr13:27445156-27450141:27445156-27450508	alt_acceptor	MTIF3	True	0.10999999999999999	0.21868464575330773	495
alt_donor:chr17:8289414-8289812:8289588-8289812	alt_donor	RANGRF	True	0.10784313725490195	0.13053763440860217	401
cassette:chr17:8289414-8289502:8289588-8289812:8289414-8289812	cassette	RANGRF	True	0.10784313725490191	0.12330586080586081	428
alt_acceptor:chr16:66552793-66558189:66552793-66565885	alt_acceptor	CKLF,CKLF-CMTM1	True	0.10303030303030303	0.11524148360738279	878
cassette:chr12:47206145-47206510:47206585-47209280:47206145-47209280	cassette	PCED1B-AS1	True	0.10147991543340384	0.14284076396138423	5017
alt_acceptor:chr19:54201609-54206275:54201609-54207397	alt_acceptor	RPS9	True	0.10122208453080916	0.14449887549657459	5660
cassette:chr19:54201609-54206275:54206704-54207397:54201609-54207397	cassette	RPS9	False	0.10121342808715028	0.14392966719878214	5673
cassette:chr19:54201609-54206275:54206461-54207397:54201609-54207397	cassette	RPS9	False	0.10107560138587734	0.14407703020676055	5665
alt_acceptor:chr10:78037304-78040203:78037304-78040614	alt_acceptor	RPS24	True	0.09951737706089714	0.1504883269260695	172666
alt_donor:chr12:25209911-25225613:25215560-25225613	alt_donor	KRAS	True	0.09534883720930232	0.15330039525691697	315
alt_donor:chrX:123961856-124022530:124021431-124022530	alt_donor	STAG2	True	0.09444444444444444	0.24651231744584334	463
cassette:chr6:36598983-36599820:36600276-36601151:36598983-36601151	cassette	SRSF3	True	0.09411764705882353	0.2865271960800416	569
alt_acceptor:chr6:36598983-36599820:36598983-36601151	alt_acceptor	SRSF3	True	0.09411764705882353	0.2625639716815731	522
alt_acceptor:chr20:49280570-49280902:49280570-49289044	alt_acceptor	ZFAS1	True	0.09320911437871815	0.10270687893397895	17633
cassette:chr20:49280570-49280902:49283003-49289044:49280570-49289044	cassette	ZFAS1	True	0.09320911437871815	0.10263942940324763	17640
alt_donor:chr10:78037304-78040614:78040225-78040614	alt_donor	RPS24	True	0.09305622890546167	0.1444771321467337	145701
alt_acceptor:chr16:66552793-66558189:66552793-66563121	alt_acceptor	CKLF,CKLF-CMTM1	True	0.09181404214762257	0.1066007367710744	2258
cassette:chr8:85217502-85219322:85219363-85220305:85217502-85220305	cassette	RBIS	True	0.09130434782608697	0.19448442760942763	626
cassette:chr10:78037304-78040203:78040225-78040614:78037304-78040614	cassette	RPS24	True	0.09125724718759798	0.1409034738035247	180292
alt_acceptor:chr17:7403689-7403999:7403689-7404104	alt_acceptor	TMEM256-PLSCR3,TMEM256	False	0.0911764705882353	0.20057303807303806	481
cassette:chr20:49280570-49280902:49281818-49289044:49280570-49289044	cassette	ZFAS1	True	0.09072400214784321	0.10380298459885304	17944
cassette:chr10:78037304-78037964:78040225-78040614:78037304-78040614	cassette	RPS24	True	0.09007198828310381	0.14125215726607254	146956
alt_acceptor:chr12:53295639-53295838:53295639-53298044	alt_acceptor	PFDN5,ENSG00000288663	True	0.0899091343854615	0.14599656460945032	435
alt_acceptor:chr15:58932443-58933049:58932443-58933403	alt_acceptor	SLTM	False	0.08864190837625373	0.10478106336874374	633
cassette:chr10:14530515-14553321:14553387-14604239:14530515-14604239	cassette	FAM107B	True	0.08851224105461386	0.1449244948583705	1129
alt_acceptor:chr4:673401-673911:673401-674211	alt_acceptor	ATP5ME	True	0.08504876226922553	0.09399082230330968	7514
alt_donor:chr8:27748279-27752511:27748598-27752511	alt_donor	CCDC25	True	0.08503300817814563	0.1665455487548172	1149
alt_acceptor:chr19:55388048-55388246:55388048-55391553	alt_acceptor	RPL28	False	0.08484848484848495	0.0969621099356604	3134
alt_acceptor:chr12:57303217-57305639:57303217-57310263	alt_acceptor	R3HDM2	True	0.08293010752688172	0.10286521388216302	573
cassette:chr17:5426082-5426235:5428211-5432541:5426082-5432541	cassette	RPAIN	True	0.08244680851063835	0.09460273850292611	1157
alt_acceptor:chr8:27748279-27748494:27748279-27752511	alt_acceptor	CCDC25	True	0.08206502101858626	0.15129204265791635	1324
alt_donor:chr17:5426082-5432541:5428211-5432541	alt_donor	RPAIN	True	0.08141321044546851	0.09934451219512196	994
cassette:chr17:5426082-5428070:5428211-5432541:5426082-5432541	cassette	RPAIN	True	0.08141321044546845	0.09958738784279031	997
alt_donor:chr1:9922358-9931890:9930457-9931890	alt_donor	LZIC	True	0.07999999999999999	0.10286218635733199	823
alt_acceptor:chr8:97691188-97699753:97691188-97706625	alt_acceptor	MTDH	True	0.07612037546067241	0.10758928058211248	3111
alt_donor:chr16:2752846-2757471:2756606-2757471	alt_donor	SRRM2	True	0.07523761071156024	0.10783064577907153	2548
alt_acceptor:chr16:66558348-66563121:66558348-66565885	alt_acceptor	CKLF	True	0.07438884644766997	0.09429303427074204	3461
cassette:chr16:2752846-2756333:2756606-2757471:2752846-2757471	cassette	SRRM2	True	0.07410904870107515	0.10698472297133027	2605
alt_donor:chr1:40362436-40406735:40374223-40406735	alt_donor	SMAP2	True	0.07216494845360824	0.1079059424080462	1919
cassette:chr12:47206069-47206510:47206585-47209280:47206069-47209280	cassette	PCED1B-AS1	True	0.07153392330383479	0.13686833335213572	3939
cassette:chr8:27748279-27748494:27748598-27752511:27748279-27752511	cassette	CCDC25	True	0.07092876919204638	0.13369287208885378	1538
alt_acceptor:chr10:14530515-14553321:14530515-14604239	alt_acceptor	FAM107B	True	0.06944444444444442	0.15647547332339548	1088
cassette:chr10:14530515-14553321:14602850-14604239:14530515-14604239	cassette	FAM107B	True	0.06944444444444442	0.14321369147201185	1093
alt_donor:chr3:108047292-108051938:108050602-108051938	alt_donor	CD47	True	0.06780464675201525	0.10274211499874597	3394
cassette:chr3:108047292-108050577:108050602-108051938:108047292-108051938	cassette	CD47	True	0.06780464675201517	0.1168582978553297	3463
alt_acceptor:chr11:112085462-112085977:112085462-112086639	alt_acceptor	TIMM8B	True	0.06746626686656673	0.10146528847800035	887
cassette:chr11:105041719-105043482:105043545-105044391:105041719-105044391	cassette	CARD16	True	0.06712568884853531	0.11557094446501176	16501
alt_donor:chr10:78037309-78040207:78037971-78040207	alt_donor		False	0.06682893964749093	0.07927905965083662	3237
alt_donor:chr19:45413745-45414860:45414034-45414860	alt_donor	ERCC1	True	0.06425653089018199	0.08316604713432009	1748
cassette:chr17:5422829-5425970:5426299-5432541:5422829-5432541	cassette	RPAIN	True	0.06354166666666661	0.14341883749778486	579
alt_donor:chr10:72216072-72220053:72216138-72220053	alt_donor	ANAPC16	True	0.061514300989040316	0.16001552795031054	654
alt_acceptor:chr8:98042775-98044826:98042775-98045346	alt_acceptor	RPL30	True	0.06144781144781142	0.11314272791884727	836
alt_donor:chr8:97691188-97706625:97699852-97706625	alt_donor	MTDH	True	0.06063235010603431	0.07464993064748413	5417
alt_donor:chr21:41362055-41376835:41370645-41376835	alt_donor	MX2	True	0.06054018445322795	0.06793091168091164	609
alt_donor:chr5:62352653-62353274:62352710-62353274	alt_donor	KIF2A	True	0.060325203252032555	0.12450314682973643	793
cassette:chr8:97691188-97696203:97699852-97706625:97691188-97706625	cassette	MTDH	True	0.05995700905880541	0.07466317879381201	5422
alt_donor:chr7:26190460-26192494:26192338-26192494	alt_donor	HNRNPA2B1	True	0.05965608465608465	0.0950319829424307	876
cassette:chr12:62302920-62304672:62304786-62314789:62302920-62314789	cassette	USP15	False	0.05862937253300671	0.10988024513357367	2480
alt_acceptor:chr12:62302920-62304672:62302920-62314789	alt_acceptor	USP15	True	0.05862937253300671	0.10988024513357367	2479
alt_acceptor:chr13:27445156-27450063:27445156-27450508	alt_acceptor	MTIF3	True	0.05767882187938289	0.0621191085129704	397
cassette:chr8:97691188-97699753:97699852-97706625:97691188-97706625	cassette	MTDH	True	0.05625668022354502	0.06945578417162596	6001
alt_donor:chr12:122753807-122762186:122754493-122762186	alt_donor	DENR	False	0.05555555555555558	0.08948801742919388	438
cassette:chr20:35732135-35734185:35735081-35738967:35732135-35738967	cassette	RBM39	True	0.05476190476190479	0.07258564828506273	1042
alt_donor:chr15:75854487-75868950:75859982-75868950	alt_donor	UBE2Q2	True	0.05416666666666667	0.08012251955448102	520
alt_acceptor:chr10:14530515-14553321:14530515-14571762	alt_acceptor	FAM107B	True	0.05405405405405406	0.09769591675570216	635
cassette:chr10:14530515-14553321:14553387-14571762:14530515-14571762	cassette	FAM107B	True	0.05405405405405406	0.09734415089106163	639
alt_donor:chr8:85217502-85220305:85219363-85220305	alt_donor	RBIS	True	0.053113553113553036	0.20931298303214818	577
cassette:chr19:1272051-1272426:1272523-1274306:1272051-1274306	cassette	CIRBP	False	0.05294953802416491	0.06112265071259139	2351
cassette:chr10:14530515-14553321:14595680-14604239:14530515-14604239	cassette	FAM107B	False	0.05263157894736836	0.10405680373475573	1131
alt_donor:chr11:105041719-105044391:105043545-105044391	alt_donor	CARD16	True	0.05228496986940745	0.10483447201844587	14145
alt_donor:chr4:673401-674211:673966-674211	alt_donor	ATP5ME	True	0.05218225316333461	0.05509378505201303	9214
cassette:chr12:79798584-79805591:79806333-79807225:79798584-79807225	cassette	PPP1R12A	True	0.05192307692307685	0.13699272173196103	1152
alt_donor:chr16:66552793-66565885:66558348-66565885	alt_donor	CKLF	True	0.05079365079365081	0.07311885348678013	1830
cassette:chrX:123961856-124021366:124021431-124022530:123961856-124022530	cassette	STAG2	True	0.050000000000000044	0.21104484828947895	499
alt_donor:chr20:35732135-35738967:35735081-35738967	alt_donor	RBM39	True	0.04924242424242431	0.05937031879654825	997
cassette:chr7:26190460-26191055:26192338-26192494:26190460-26192494	cassette	HNRNPA2B1	True	0.04918374797892866	0.07183356530657092	1111
alt_acceptor:chr2:230470098-230473323:230470098-230473383	alt_acceptor	SP100	True	0.04767288486904098	0.09913036248602641	1062
cassette:chr21:41362055-41366858:41370645-41376835:41362055-41376835	cassette	MX2	False	0.04763761616949373	0.07488207547169812	623
alt_acceptor:chrX:76175613-76176880:76175613-76177615	alt_acceptor	PBDC1	True	0.0476062399139322	0.10576923076923078	546
alt_acceptor:chr11:105041719-105043482:105041719-105044391	alt_acceptor	CARD16	True	0.04759106933019974	0.11805325029260053	15156
alt_acceptor:chr12:79798584-79806165:79798584-79807225	alt_acceptor	PPP1R12A	True	0.0458821826602982	0.05282032478131038	2293
cassette:chr4:673401-673911:673966-674211:673401-674211	cassette	ATP5ME	True	0.043998626172064514	0.04713189261001466	12844
cassette:chr21:46287123-46291333:46291462-46296161:46287123-46296161	cassette	YBEY	True	0.04388714733542309	0.07701947096047479	514
alt_donor:chr16:66558348-66565885:66563217-66565885	alt_donor	CKLF	True	0.043844696969696964	0.0586047971397112	9018
alt_donor:chr6:85677492-85677953:85677868-85677953	alt_donor	ENSG00000271793,SNHG5	True	0.04367078943350128	0.08557886420539379	2584
cassette:chr12:79798584-79806165:79806297-79807225:79798584-79807225	cassette	PPP1R12A	True	0.043269230769230727	0.051666615844431996	2306
alt_acceptor:chr10:14530515-14553321:14530515-14572228	alt_acceptor	FAM107B	True	0.042328042328042326	0.09877688191429518	598
cassette:chr10:14530515-14553321:14553387-14572228:14530515-14572228	cassette	FAM107B	True	0.041884816753926746	0.0968418310320775	604
cassette:chr21:41362055-41363268:41370645-41376835:41362055-41376835	cassette	MX2	True	0.04164609053497942	0.06257183908045977	686
cassette:chr17:5422829-5426235:5428211-5432541:5422829-5432541	cassette	RPAIN	True	0.04074695086937552	0.12918152973377472	1147
alt_donor:chr11:65499482-65499688:65499512-65499688	alt_donor	MALAT1	False	0.04072106872686304	0.06221680484207212	4181
cassette:chr13:75526639-75527812:75527851-75530310:75526639-75530310	cassette	COMMD6	False	0.04064171122994653	0.09277598237791237	738
alt_acceptor:chr13:75526639-75527812:75526639-75530310	alt_acceptor	COMMD6	True	0.04064171122994653	0.0906417786242246	737
alt_donor:chr2:231711419-231712442:231711947-231712442	alt_donor		False	0.04052603327965647	0.08164601801357625	2547
alt_acceptor:chr19:1272051-1272426:1272051-1274306	alt_acceptor	CIRBP	True	0.039913436060019736	0.06430326739122487	2299
cassette:chr12:122511188-122514711:122514728-122515104:122511188-122515104	cassette	RSRC2	True	0.039327789327789325	0.05005373488670847	553
cassette:chr13:30461533-30461638:30461688-30462537:30461533-30462537	cassette	HMGB1	True	0.038961038961038974	0.04619173097433968	469
alt_acceptor:chr11:65499423-65499462:65499423-65499512	alt_acceptor		False	0.03893863134728287	0.11177042204886758	29733
alt_donor:chr7:26191128-26192494:26192338-26192494	alt_donor	HNRNPA2B1	True	0.038679643403492114	0.10503354800463476	1186
alt_donor:chrX:48902042-48902731:48902517-48902731	alt_donor	PQBP1	True	0.03832058381077361	0.08470016469410256	1809
cassette:chr12:79798584-79806165:79806333-79807225:79798584-79807225	cassette	PPP1R12A	True	0.03831417624521072	0.051079316152466636	2403
cassette:chr14:22565137-22569993:22575233-22588946:22565137-22588946	cassette	DAD1	False	0.038181818181818206	0.049535603715170295	487
cassette:chrX:48902042-48902232:48902517-48902731:48902042-48902731	cassette	PQBP1	True	0.03769514882522729	0.0839084018778467	1840
cassette:chr17:5422829-5428070:5428211-5432541:5422829-5432541	cassette	RPAIN	True	0.037666747513946164	0.1319099984969041	1118
alt_donor:chr17:5422829-5432541:5428211-5432541	alt_donor	RPAIN	True	0.036525004266939776	0.1319099984969041	1117
cassette:chr7:23522432-23531180:23531270-23531788:23522432-23531788	cassette	TRA2A	True	0.036199095022624445	0.21344760312151617	429
alt_acceptor:chr12:47206069-47206510:47206069-47209280	alt_acceptor	PCED1B-AS1	True	0.03615627274933264	0.13783506614111546	3707
cassette:chr7:26191128-26192300:26192338-26192494:26191128-26192494	cassette	HNRNPA2B1	True	0.03606209749201528	0.10503354800463477	1188
alt_acceptor:chr3:185931852-185934428:185931852-185937824	alt_acceptor	TRA2B	True	0.03597299426620562	0.0794436634152115	1921
cassette:chr17:5422829-5425970:5428211-5432541:5422829-5432541	cassette	RPAIN	True	0.03577044025157228	0.12227644437541207	1228
alt_acceptor:chr4:154536744-154537285:154536744-154537968	alt_acceptor	PLRG1	True	0.03518265619665417	0.0438316068692689	1078
cassette:chr14:22565137-22566267:22575233-22588946:22565137-22588946	cassette	DAD1	False	0.034984709480122334	0.049535603715170295	442
cassette:chr7:26191128-26191421:26192338-26192494:26191128-26192494	cassette	HNRNPA2B1	True	0.03473778574630204	0.09813454373720942	1229
alt_donor:chr21:46287123-46296161:46291462-46296161	alt_donor	YBEY	True	0.03367003367003368	0.07519799178071682	494
cassette:chr16:721941-722083:722083-722308:721941-722308	cassette	ANTKMT	True	0.033333333333333326	0.06982831708593118	840
alt_donor:chrX:76175613-76177615:76176992-76177615	alt_donor	PBDC1	True	0.03325064965745334	0.07144900104174418	947
alt_donor:chr14:22565137-22588946:22575233-22588946	alt_donor	DAD1	True	0.032894736842105254	0.046644469108398076	429
cassette:chr15:75854487-75859877:75859982-75868950:75854487-75868950	cassette	UBE2Q2	True	0.0328738069989396	0.06261580918588605	684
cassette:chr14:22565137-22567087:22575233-22588946:22565137-22588946	cassette	DAD1	True	0.032352941176470584	0.04650578179989945	455
cassette:chr4:154536744-154537285:154537479-154537968:154536744-154537968	cassette	PLRG1	True	0.032266936884771336	0.040209871745044756	1180
cassette:chr16:66558348-66563121:66563217-66565885:66558348-66565885	cassette	CKLF	True	0.03213443396226412	0.05810845199306103	9477
alt_donor:chr14:55580354-55612018:55601880-55612018	alt_donor	KTN1	True	0.03205128205128205	0.04739303955516361	1668
alt_acceptor:chr15:75854487-75859877:75854487-75868950	alt_acceptor	UBE2Q2	True	0.031746031746031744	0.06734765234765239	550
alt_donor:chr1:228147699-228148664:228148539-228148664	alt_donor	GUK1	True	0.031578947368421095	0.0596333375186133	1667
alt_donor:chr5:96695907-96722638:96702915-96722638	alt_donor	CAST	True	0.030927835051546393	0.1004901960784314	1438
alt_donor:chr6:166931118-166938894:166934136-166938894	alt_donor	ENSG00000249141,RNASET2	False	0.03043071161048689	0.08311184310162048	727
cassette:chr6:85677492-85677790:85677868-85677953:85677492-85677953	cassette	ENSG00000271793,SNHG5	True	0.03028619060850235	0.08463920685330989	2726
alt_acceptor:chr6:85677492-85677953:85677492-85678135	alt_acceptor	ENSG00000271793,SNHG5	True	0.030219780219780223	0.07053924378679854	1232
cassette:chr14:55580354-55601756:55601880-55612018:55580354-55612018	cassette	KTN1	True	0.030067567567567566	0.04518883061380924	1710
cassette:chr1:24646789-24647078:24647208-24648858:24646789-24648858	cassette	SRRM1	True	0.029729018679294922	0.04635961487223984	6201
cassette:chr16:66552793-66558189:66558348-66565885:66552793-66565885	cassette	CKLF,CKLF-CMTM1	True	0.029680365296803624	0.06169244975370447	2236
alt_acceptor:chr18:58723251-58726269:58723251-58733396	alt_acceptor	MALT1	False	0.029646902065289804	0.08954678362573099	656
alt_acceptor:chr1:228147699-228148370:228147699-228148664	alt_acceptor	GUK1	True	0.028956228956228847	0.05056335075416929	1831
alt_donor:chr2:27772692-27779432:27774530-27779432	alt_donor	MRPL33	True	0.028846153846153855	0.13104651819472216	1583
alt_acceptor:chr2:201272776-201272897:201272776-201276826	alt_acceptor	CASP8	True	0.02813299232736577	0.07878151260504201	379
cassette:chr2:201272776-201272897:201272942-201276826:201272776-201276826	cassette	CASP8	True	0.02813299232736577	0.07464349376114082	389
cassette:chr1:150577491-150578243:150578491-150578842:150577491-150578842	cassette	MCL1	True	0.02813299232736577	0.04446446430439266	675
cassette:chr12:79798584-79805591:79805768-79806165:79798584-79806165	cassette	PPP1R12A	True	0.027454333745724452	0.09090775125257884	2704
cassette:chr7:26190460-26190992:26192338-26192494:26190460-26192494	cassette	HNRNPA2B1	True	0.027448809354590153	0.05335451235734784	1655
cassette:chr5:57214193-57221375:57221396-57230845:57214193-57230845	cassette	GPBP1	True	0.0267857142857143	0.06702306443150308	658
cassette:chr5:179708380-179708977:179709059-179709872:179708380-179709872	cassette	CANX	True	0.0264130434782609	0.04095703874184886	792
alt_donor:chr2:32023808-32029593:32024256-32029593	alt_donor	DPY30	True	0.02623688155922039	0.05555555555555555	324
alt_donor:chr1:28738338-28768928:28743986-28768928	alt_donor	YTHDF2	True	0.026103294786051404	0.0935136161724952	1468
alt_donor:chr11:65499285-65499753:65499423-65499753	alt_donor		False	0.026094327056971567	0.049109413413613745	4114
alt_donor:chr12:94971620-95002738:94994257-95002738	alt_donor	NDUFA12	True	0.025974025974025983	0.07571603883154734	736
alt_donor:chr19:54206462-54207397:54206724-54207397	alt_donor	RPS9	True	0.025951141159426427	0.03374587435762122	158068
cassette:chr19:54206462-54206552:54206724-54207397:54206462-54207397	cassette	RPS9	True	0.025903528153656732	0.0340602522551335	158116
alt_donor:chr17:74203710-74203917:74203745-74203917	alt_donor	RPL38	True	0.02566513164534101	0.04355678121251144	23712
alt_acceptor:chr17:42998831-42999932:42998831-43002672	alt_acceptor	RPL27	True	0.025620915032679714	0.04783883262394323	6685
alt_donor:chr1:29149226-29154695:29150192-29154695	alt_donor	SRSF4	True	0.025518341307814996	0.04107030271270541	498
cassette:chr14:22565137-22571878:22575233-22588946:22565137-22588946	cassette	DAD1	False	0.025210084033613467	0.04629488158899925	452
alt_acceptor:chr10:78037304-78037964:78037304-78040203	alt_acceptor	RPS24	True	0.0250980330869567	0.02614692753331095	110331
cassette:chr1:24646789-24647078:24648166-24648858:24646789-24648858	cassette	SRRM1	True	0.025078369905956112	0.046541255521514294	6023
cassette:chr10:78037304-78037964:78037982-78040203:78037304-78040203	cassette	RPS24	True	0.025055336052431734	0.02614692753331095	110336
cassette:chr9:21008146-21010724:21011438-21011588:21008146-21011588	cassette	HACD4	False	0.024999999999999994	0.04129850186387829	1235
alt_acceptor:chr1:42457350-42459602:42457350-42473121	alt_acceptor	PPCS	True	0.02499999999999991	0.12040043290043295	365
alt_donor:chr17:6641227-6642248:6641834-6642248	alt_donor	TXNDC17	False	0.024963768976740873	0.0447204537724075	3357
alt_donor:chr13:45337021-45337207:45337091-45337207	alt_donor		False	0.02495975613932938	0.035736335659031115	8744
cassette:chr17:6641227-6641752:6641834-6642248:6641227-6642248	cassette	TXNDC17	False	0.024456455214847406	0.041262412256313	3560
cassette:chrX:76175613-76176880:76176992-76177615:76175613-76177615	cassette	PBDC1	True	0.024317617866004948	0.056174416624084456	1160
alt_acceptor:chr2:231711419-231711886:231711419-231712442	alt_acceptor	PTMA	False	0.024280377938914577	0.042460792305744954	5344
alt_acceptor:chr8:98042775-98045114:98042775-98045346	alt_acceptor	RPL30	False	0.024271844660194164	0.22163018433179726	456
cassette:chr1:29149226-29150102:29150192-29154695:29149226-29154695	cassette	SRSF4	True	0.024203307785397365	0.037357393564290076	560
alt_acceptor:chr12:79798584-79805591:79798584-79806165	alt_acceptor	PPP1R12A	True	0.023785150211005718	0.0801144842276394	2690
alt_donor:chr3:195345317-195381008:195365565-195381008	alt_donor	ACAP2	True	0.023714002444029325	0.03049990577399997	1476
cassette:chr1:228147699-228148370:228148539-228148664:228147699-228148664	cassette	GUK1	True	0.02361673414304999	0.033988806594905385	2743
alt_acceptor:chrX:47142440-47142583:47142440-47142613	alt_acceptor	NDUFB11	True	0.023543009626647432	0.04796910103039595	11191
alt_donor:chr12:122511188-122515104:122514728-122515104	alt_donor	RSRC2	True	0.023505054195591235	0.043705943916028	548
cassette:chr5:134741523-134743986:134744052-134750758:134741523-134750758	cassette	CAMLG	True	0.02314814814814814	0.0728727460678052	1203
alt_donor:chr12:76450979-76487509:76450988-76487509	alt_donor	OSBPL8	True	0.02262744191422955	0.1514678102032291	918
alt_donor:chr19:35742619-35743808:35742803-35743808	alt_donor	ENSG00000267120,U2AF1L4	True	0.022619047619047622	0.08136477457897405	762
alt_acceptor:chr12:56160320-56160625:56160320-56162263	alt_acceptor	MYL6	True	0.02258852258852262	0.06326632115950703	1767
cassette:chr12:62302920-62304672:62306058-62314789:62302920-62314789	cassette	USP15	True	0.022402024368979534	0.07253525757220339	2722
alt_donor:chr6:85677492-85678135:85678032-85678135	alt_donor	ENSG00000271793,SNHG5	True	0.022399373991294567	0.04680362246203841	3131
alt_donor:chr17:50737026-50740305:50737479-50740305	alt_donor	LUC7L3	True	0.022326674500587562	0.03975713253882268	1154
cassette:chr17:50737026-50737286:50737479-50740305:50737026-50740305	cassette	LUC7L3	True	0.022326674500587534	0.05072336422565195	1163
alt_acceptor:chr3:157150381-157151916:157150381-157152176	alt_acceptor	CCNL1	True	0.022324952080279625	0.025102866409284233	1029
alt_acceptor:chr11:124623233-124624175:124623233-124624930	alt_acceptor	TBRG1	False	0.022135416666666664	0.040866543406496175	1197
cassette:chr10:68901471-68906283:68906337-68906710:68901471-68906710	cassette	DDX50	True	0.022032693674484738	0.11869709238130288	281
alt_donor:chr4:2042068-2042735:2042484-2042735	alt_donor	NICOL1	False	0.022018768819981095	0.02696750804021354	6402
cassette:chr2:27772692-27774423:27774530-27779432:27772692-27779432	cassette	MRPL33	True	0.021975582685904604	0.14475475668416904	1746
cassette:chr4:2042068-2042326:2042484-2042735:2042068-2042735	cassette	NICOL1	False	0.021608118657299058	0.026525442652380604	6642
